	4489656.3	4440320.3	4441663.3	4510168.3	4493725.3	4461840.3	4441599.3	4451035.3	4525341.3	4489328.3	4478222.3
P1	55.6	22.2	100	100	100	100	100	100	100	88.9	88.9
P2	10	20	60	80	70	80	70	70	70	40	60
P3	50	0	100	100	100	100	100	100	100	100	100
P4	29.4	0	76.5	76.5	76.5	76.5	76.5	76.5	76.5	70.6	70.6
P5	35	5	70	75	75	75	75	75	75	65	60
P6	10	5	60	60	60	60	60	60	60	55	55
P7	11.1	0	77.8	77.8	77.8	77.8	77.8	77.8	77.8	77.8	77.8
P8	100	0	100	100	100	100	100	100	100	100	100
P9	80	20	80	100	100	100	100	100	100	100	100
P10	40	20	60	65	65	70	70	60	60	65	65
P11	20.7	10.3	55.2	75.9	58.6	69	75.9	62.1	58.6	51.7	48.3
P12	100	0	0	100	100	100	100	100	100	100	100
P13	100	33.3	66.7	100	100	100	100	100	100	100	100
P14	100	0	100	100	100	100	100	100	100	100	100
P15	50	21.4	64.3	71.4	64.3	71.4	71.4	71.4	71.4	71.4	71.4
P16	31.2	6.2	50	87.5	87.5	81.2	62.5	68.8	62.5	50	75
P17	58.3	8.3	83.3	100	91.7	100	100	100	100	83.3	91.7
P18	57.1	0	85.7	100	100	100	100	100	100	85.7	100
P19	57.1	14.3	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7
P20	28.6	0	57.1	71.4	71.4	71.4	71.4	71.4	71.4	71.4	57.1
P21	0	0	0	100	100	0	0	0	0	0	0
P22	57.1	14.3	57.1	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7
P23	63.6	18.2	63.6	81.8	81.8	81.8	81.8	81.8	81.8	81.8	81.8
P24-26	100	0	100	100	100	100	100	100	100	100	100
P27	100	100	100	100	100	100	100	100	100	100	100
P28	75	50	100	100	100	100	100	100	100	100	100
P29	0	8.3	91.7	100	100	100	100	100	100	58.3	58.3

