Comp_mean      vs MEBS_SS        r-value = 0.004832
P1             vs MEBS_SS        r-value = 0.1869
P1             vs Comp_mean      r-value = 0.3949
P2             vs MEBS_SS        r-value = 0.000511
P2             vs Comp_mean      r-value = 0.4979
P2             vs P1             r-value = 0.2463
P3             vs MEBS_SS        r-value = 0.002406
P3             vs Comp_mean      r-value = 0.3478
P3             vs P1             r-value = 0.09135
P3             vs P2             r-value = 0.1388
P4             vs MEBS_SS        r-value = 0.2675
P4             vs Comp_mean      r-value = 0.6332
P4             vs P1             r-value = 0.383
P4             vs P2             r-value = 0.2277
P4             vs P3             r-value = 0.2058
P5             vs MEBS_SS        r-value = 0.2285
P5             vs Comp_mean      r-value = 0.5923
P5             vs P1             r-value = 0.3967
P5             vs P2             r-value = 0.2292
P5             vs P3             r-value = 0.1657
P5             vs P4             r-value = 0.7688
P6             vs MEBS_SS        r-value = 0.3557
P6             vs Comp_mean      r-value = 0.5041
P6             vs P1             r-value = 0.3279
P6             vs P2             r-value = 0.1682
P6             vs P3             r-value = 0.1414
P6             vs P4             r-value = 0.8651
P6             vs P5             r-value = 0.6582
P7             vs MEBS_SS        r-value = 0.1694
P7             vs Comp_mean      r-value = 0.6393
P7             vs P1             r-value = 0.3686
P7             vs P2             r-value = 0.2877
P7             vs P3             r-value = 0.2037
P7             vs P4             r-value = 0.8428
P7             vs P5             r-value = 0.6355
P7             vs P6             r-value = 0.7292
P8             vs MEBS_SS        r-value = 0.01633
P8             vs Comp_mean      r-value = 0.4682
P8             vs P1             r-value = 0.1133
P8             vs P2             r-value = 0.2388
P8             vs P3             r-value = 0.1077
P8             vs P4             r-value = 0.1934
P8             vs P5             r-value = 0.194
P8             vs P6             r-value = 0.1582
P8             vs P7             r-value = 0.2402
P9             vs MEBS_SS        r-value = 0.02164
P9             vs Comp_mean      r-value = 0.4794
P9             vs P1             r-value = 0.1357
P9             vs P2             r-value = 0.1984
P9             vs P3             r-value = 0.1397
P9             vs P4             r-value = 0.191
P9             vs P5             r-value = 0.1404
P9             vs P6             r-value = 0.129
P9             vs P7             r-value = 0.2025
P9             vs P8             r-value = 0.2138
P10            vs MEBS_SS        r-value = 0.00575
P10            vs Comp_mean      r-value = 0.6547
P10            vs P1             r-value = 0.2779
P10            vs P2             r-value = 0.2861
P10            vs P3             r-value = 0.2253
P10            vs P4             r-value = 0.552
P10            vs P5             r-value = 0.4792
P10            vs P6             r-value = 0.3926
P10            vs P7             r-value = 0.4501
P10            vs P8             r-value = 0.2561
