Comp_mean      vs MEBS_SS        r-value = 0.6373
P1             vs MEBS_SS        r-value = 0.747
P1             vs Comp_mean      r-value = 0.8737
P2             vs MEBS_SS        r-value = 0.6522
P2             vs Comp_mean      r-value = 0.8001
P2             vs P1             r-value = 0.7831
P3             vs MEBS_SS        r-value = 0.3638
P3             vs Comp_mean      r-value = 0.5676
P3             vs P1             r-value = 0.4981
P3             vs P2             r-value = 0.4826
P4             vs MEBS_SS        r-value = 0.779
P4             vs Comp_mean      r-value = 0.9038
P4             vs P1             r-value = 0.8387
P4             vs P2             r-value = 0.7855
P4             vs P3             r-value = 0.509
P5             vs MEBS_SS        r-value = 0.7842
P5             vs Comp_mean      r-value = 0.901
P5             vs P1             r-value = 0.8544
P5             vs P2             r-value = 0.7618
P5             vs P3             r-value = 0.4781
P5             vs P4             r-value = 0.9254
P6             vs MEBS_SS        r-value = 0.798
P6             vs Comp_mean      r-value = 0.8812
P6             vs P1             r-value = 0.8105
P6             vs P2             r-value = 0.7498
P6             vs P3             r-value = 0.4916
P6             vs P4             r-value = 0.9683
P6             vs P5             r-value = 0.9071
P7             vs MEBS_SS        r-value = 0.6461
P7             vs Comp_mean      r-value = 0.8983
P7             vs P1             r-value = 0.7969
P7             vs P2             r-value = 0.7418
P7             vs P3             r-value = 0.5155
P7             vs P4             r-value = 0.9257
P7             vs P5             r-value = 0.8698
P7             vs P6             r-value = 0.891
P8             vs MEBS_SS        r-value = 0.3585
P8             vs Comp_mean      r-value = 0.5978
P8             vs P1             r-value = 0.4972
P8             vs P2             r-value = 0.4902
P8             vs P3             r-value = 0.2548
P8             vs P4             r-value = 0.5303
P8             vs P5             r-value = 0.4992
P8             vs P6             r-value = 0.5333
P8             vs P7             r-value = 0.4836
P9             vs MEBS_SS        r-value = 0.4476
P9             vs Comp_mean      r-value = 0.8599
P9             vs P1             r-value = 0.7254
P9             vs P2             r-value = 0.6117
P9             vs P3             r-value = 0.5143
P9             vs P4             r-value = 0.7279
P9             vs P5             r-value = 0.732
P9             vs P6             r-value = 0.7074
P9             vs P7             r-value = 0.7652
P9             vs P8             r-value = 0.453
P10            vs MEBS_SS        r-value = 0.612
P10            vs Comp_mean      r-value = 0.9105
P10            vs P1             r-value = 0.8273
P10            vs P2             r-value = 0.7798
P10            vs P3             r-value = 0.5049
P10            vs P4             r-value = 0.882
P10            vs P5             r-value = 0.8467
P10            vs P6             r-value = 0.8435
P10            vs P7             r-value = 0.8418
P10            vs P8             r-value = 0.5351
P10            vs P9             r-value = 0.779
P11            vs MEBS_SS        r-value = 0.7327
P11            vs Comp_mean      r-value = 0.8704
P11            vs P1             r-value = 0.9029
P11            vs P2             r-value = 0.8249
P11            vs P3             r-value = 0.4978
P11            vs P4             r-value = 0.8577
P11            vs P5             r-value = 0.8659
P11            vs P6             r-value = 0.8192
P11            vs P7             r-value = 0.7913
P11            vs P8             r-value = 0.499
P11            vs P9             r-value = 0.692
P11            vs P10            r-value = 0.8334
P12            vs MEBS_SS        r-value = 0.2964
P12            vs Comp_mean      r-value = 0.5959
P12            vs P1             r-value = 0.4701
P12            vs P2             r-value = 0.4207
P12            vs P3             r-value = 0.2869
P12            vs P4             r-value = 0.5003
P12            vs P5             r-value = 0.4752
P12            vs P6             r-value = 0.4891
P12            vs P7             r-value = 0.5088
P12            vs P8             r-value = 0.378
P12            vs P9             r-value = 0.4787
P12            vs P10            r-value = 0.5226
P12            vs P11            r-value = 0.473
P13            vs MEBS_SS        r-value = 0.3863
P13            vs Comp_mean      r-value = 0.8004
P13            vs P1             r-value = 0.6778
P13            vs P2             r-value = 0.5804
P13            vs P3             r-value = 0.4526
P13            vs P4             r-value = 0.642
P13            vs P5             r-value = 0.648
P13            vs P6             r-value = 0.6224
P13            vs P7             r-value = 0.6702
P13            vs P8             r-value = 0.4446
P13            vs P9             r-value = 0.8101
P13            vs P10            r-value = 0.6912
P13            vs P11            r-value = 0.6509
P13            vs P12            r-value = 0.4224
P14            vs MEBS_SS        r-value = 0.2224
P14            vs Comp_mean      r-value = 0.6178
P14            vs P1             r-value = 0.441
P14            vs P2             r-value = 0.3575
P14            vs P3             r-value = 0.3084
P14            vs P4             r-value = 0.4444
P14            vs P5             r-value = 0.486
P14            vs P6             r-value = 0.4377
P14            vs P7             r-value = 0.5226
P14            vs P8             r-value = 0.31
P14            vs P9             r-value = 0.5966
P14            vs P10            r-value = 0.5077
P14            vs P11            r-value = 0.4083
P14            vs P12            r-value = 0.3496
P14            vs P13            r-value = 0.5296
P15            vs MEBS_SS        r-value = 0.4323
P15            vs Comp_mean      r-value = 0.855
