	Thiobacillus	Allochromatium	Ammonifex	Desulfovibrio	Hyphomicrobium	Methanosarcina	Microccocus	Pelodictyon	Ruegeria	Synechococcus	Enterococcus	Sulfolobus
P1	88.9	77.8	77.8	66.7	55.6	44.4	22.2	66.7	77.8	66.7	33.3	66.7
P2	60	60	0	30	50	20	40	60	60	40	20	10
P3	100	100	0	0	100	100	100	100	100	0	0	0
P4	76.5	76.5	76.5	76.5	58.8	64.7	23.5	70.6	58.8	52.9	5.9	52.9
P5	75	70	75	75	55	55	35	75	50	45	25	55
P6	60	60	55	55	40	40	10	55	40	35	10	30
P7	77.8	77.8	66.7	77.8	77.8	77.8	22.2	77.8	77.8	55.6	11.1	66.7
P8	0	100	0	100	100	0	100	0	100	0	0	100
P9	80	80	60	80	80	100	100	60	100	80	100	60
P10	45	60	40	60	65	60	55	45	55	60	30	45
P11	55.2	65.5	41.4	41.4	44.8	37.9	24.1	48.3	48.3	37.9	20.7	37.9
P12	0	0	0	0	0	0	0	0	100	0	100	0
P13	66.7	33.3	66.7	66.7	66.7	100	100	33.3	100	66.7	100	66.7
P14	100	100	100	100	100	100	100	100	100	100	100	100
P15	57.1	57.1	50	57.1	57.1	57.1	57.1	50	71.4	50	64.3	50
P16	43.8	37.5	43.8	37.5	50	50	31.2	37.5	56.2	37.5	25	37.5
P17	50	50	25	41.7	83.3	25	83.3	50	100	50	25	83.3
P18	42.9	42.9	28.6	28.6	100	28.6	85.7	42.9	100	42.9	28.6	85.7
P19	85.7	85.7	71.4	85.7	85.7	85.7	85.7	71.4	85.7	71.4	85.7	71.4
P20	71.4	71.4	57.1	57.1	57.1	71.4	42.9	71.4	57.1	42.9	28.6	57.1
P21	0	0	0	0	0	0	0	0	0	0	0	0
P22	71.4	57.1	42.9	28.6	57.1	14.3	57.1	57.1	85.7	57.1	14.3	42.9
P23	72.7	72.7	54.5	72.7	72.7	63.6	72.7	54.5	81.8	72.7	63.6	54.5
P24	100	100	50	50	100	100	100	100	100	100	50	50
P25	100	100	50	50	100	100	100	100	100	100	50	50
P26	100	100	50	50	100	100	100	100	100	100	50	50
P28	100	100	100	100	100	75	100	100	100	100	100	75
P29	100	91.7	83.3	83.3	58.3	58.3	0	100	58.3	33.3	8.3	41.7

