Specie 	Kigdom 	Phylum 	Class 	Order 	Family 	Genus 	S_guild	MEBS_S	MEBS_CH4	MEBS_N	MEBS_O	MEBS_Fe	ROC_Fe	ROC_CH4	ROC_O	ROC_N	ROC_S	CAT_N	CAT_O	CAT_M	Cat_Fe
Rhodopseudomonas palustris BisA53	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Rhodopseudomonas	NS	2.111	10.877	29.148	9.074	10.07	Feli	ND	ND	Nili	NS	Nili	Our	ND	Feli
Rhodopseudomonas palustris BisB18	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Rhodopseudomonas	NS	1.336	10.651	29.824	7.912	9.211	Feli	ND	ND	Nili	NS	Nili	Our	ND	Feli
Rhodopseudomonas palustris DX-1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Rhodopseudomonas	NS	2.56	9.531	31.73	8.912	9.602	Feli	ND	ND	Nili	NS	Nili	Our	ND	Feli
Rhodopseudomonas palustris TIE-1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Rhodopseudomonas	NS	2.979	9.531	31.664	8.912	8.876	Feli	ND	ND	Nili	NS	Nili	Our	ND	Feli
Rhodobacter capsulatus SB 1003	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Rhodobacter	NS	3.849	8.782	26.575	7.323	7.651	Feli	ND	ND	Nili	NS	Nili	ND	ND	Feli
Rhodopseudomonas palustris BisB5	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Rhodopseudomonas	NS	2.708	8.749	29.363	7.903	7.295	Feli	ND	ND	Nili	NS	Nili	Our	ND	Feli
Rhodopseudomonas palustris HaA2	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Rhodopseudomonas	NS	0.807	8.363	31.447	8.917	7.396	Feli	ND	ND	Nili	NS	Nili	Our	ND	Feli
Thiobacillus denitrificans ATCC 25259	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Hydrogenophilales	 Hydrogenophilaceae	 Thiobacillus	CLSB	11.61	5.025	19.147	5.926	4.087	Feli	ND	ND	Nili	Suli	Nili	ND	ND	Feli
Methanosphaerula palustris E1-9c	 Archaea	 Euryarchaeota	 Methanomicrobia	 Methanomicrobiales	 Methanoregulaceae	 Methanosphaerula	Sur	5.308	70.75	14.293	5.459	1.33	Feli	Metli	ND	ND	Sur	ND	ND	Metli	Feli
Leptothrix cholodnii SP-6	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Leptothrix	0	NS	2.444	16.677	29.839	7.587	7.969	Feli	ND	ND	ND	NS	ND	ND	ND	Feli
Leptospirillum ferrooxidans C2-3	 Bacteria	 Nitrospirae	 Nitrospirales	 Nitrospiraceae	 Leptospirillum	0	NS	4.489	10.14	19.898	7.132	6.486	Feli	ND	ND	ND	NS	ND	ND	ND	Feli
Geobacter daltonii FRC-32	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	5.51	10	20.896	5.478	7.525	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Dechloromonas aromatica RCB	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 Dechloromonas	NS	3.941	9.72	27.422	8.004	10.1	Feli	ND	ND	ND	NS	ND	ND	ND	Feli
Geobacter sulfurreducens PCA	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	SRB	5.695	9.523	21.133	6.846	8.998	Feli	ND	ND	ND	Suli	ND	ND	ND	Feli
Geobacter sp. M21	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	5.692	8.551	21.485	6.078	9.187	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Geobacter bemidjiensis Bem	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	5.401	8.551	20.915	6.078	9.187	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Geobacter metallireducens GS-15	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	4.556	8.363	22.25	6.058	9.187	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Geobacter pickeringii	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	5.375	8.114	21.087	6.033	8.286	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Geobacter sp. M18	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	5.829	8.04	21.061	5.972	7.578	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Rhodomicrobium vannielii ATCC 17100	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Rhodomicrobium	NS	2.418	8	21.04	6.195	7.689	Feli	ND	ND	ND	NS	ND	ND	ND	Feli
Acidithiobacillus ferrooxidans ATCC 53993	 Bacteria	 Proteobacteria	 Acidithiobacillia	 Acidithiobacillales	 Acidithiobacillaceae	 Acidithiobacillus	SOM	7.655	7.382	21.935	7.681	5.029	Feli	ND	ND	ND	Suli	ND	ND	ND	Feli
Geobacter uraniireducens Rf4	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	5.334	7.151	21.388	6.319	8.998	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Acidithiobacillus ferrivorans SS3	 Bacteria	 Proteobacteria	 Acidithiobacillia	 Acidithiobacillales	 Acidithiobacillaceae	 Acidithiobacillus	SOM	7.436	6.999	21.801	7.763	5.16	Feli	ND	ND	ND	Suli	ND	ND	ND	Feli
Sideroxydans lithotrophicus ES-1	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Gallionellales	 Gallionellaceae	 Sideroxydans	Sur	8.373	6.672	23.815	6.542	9.03	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Geobacter lovleyi SZ	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	Sur	6.524	6.443	21.291	4.373	6.511	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Anaeromyxobacter sp. Fw109-5	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacterineae	 Anaeromyxobacteraceae	Sur	6.463	5.809	23.038	6.275	7.179	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Gallionella capsiferriformans ES-2	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Gallionellales	 Gallionellaceae	 Gallionella	NS	3.466	5.416	17.429	5.262	7.119	Feli	ND	ND	ND	NS	ND	ND	ND	Feli
Anaerolinea thermophila UNI-1	 Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae	 Anaerolinea	Sur	5.095	5.303	18.689	4.099	5.853	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Anaeromyxobacter sp. K	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacterineae	 Anaeromyxobacteraceae	Sur	6.327	4.318	24.537	6.168	7.559	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Anaeromyxobacter dehalogenans 2CP-C	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacterineae	 Anaeromyxobacteraceae	Sur	5.633	2.553	22.205	3.886	7.559	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Acidimicrobium ferrooxidans DSM 10331	 Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 Acidimicrobiaceae	 Acidimicrobium	NS	1.702	1.707	18.518	3.533	3.398	Feli	ND	ND	ND	NS	ND	ND	ND	Feli
Ferroplasma acidarmanus fer1	 Archaea	 Euryarchaeota	 Thermoplasmata	 Thermoplasmatales	 Ferroplasmaceae	 Ferroplasma	Sur	4.595	1.625	15.781	3.002	2.053	Feli	ND	ND	ND	Sur	ND	ND	ND	Feli
Hyphomicrobium sp. MC1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Hyphomicrobium	NS	2.331	18.838	31.641	8.503	7.659	ND	ND	ND	ND	NS	Nur	ND	Mur	ND
Azoarcus sp. KH32C	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 Azoarcus	NS	3.78	17.963	30.961	6.962	9.138	ND	ND	ND	ND	NS	Nur	ND	ND	Feur
Paraburkholderia phymatum STM815	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	NS	1.027	17.188	31.714	7.478	4.641	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Methylobacterium populi BJ001	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Methylobacterium	NS	1.242	16.93	30.806	8.286	5.583	ND	Metli	ND	ND	NS	Nur	ND	Metli	ND
Xanthobacter autotrophicus Py2	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Xanthobacter	NS	2.248	16.915	31.35	8.626	5.895	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Methylobacterium radiotolerans JCM 2831	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Methylobacterium	NS	2.347	16.651	31.316	8.154	6.047	ND	Metli	ND	ND	NS	Nur	ND	Metli	ND
Methylobacterium sp. AMS5	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Methylobacterium	NS	0.032	16.562	29.549	8.286	5.849	ND	Metli	ND	ND	NS	Nur	ND	Metli	ND
Paraburkholderia xenovorans LB400	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	NS	0.832	16.55	31.857	8.65	5.807	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Methylobacterium aquaticum	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Methylobacterium	NS	1.266	16.337	31.153	8.181	6.125	ND	Metli	ND	ND	NS	Nur	ND	Metli	ND
Mesorhizobium ciceri biovar biserrulae WSM1271	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Mesorhizobium	NS	0.704	16.313	31.022	7.983	4.038	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Methylobacterium nodulans ORS 2060	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Methylobacterium	NS	2.324	15.845	33.126	8.484	4.862	ND	Metli	ND	ND	NS	Nur	ND	Metli	ND
Burkholderia sp. CCGE1001	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	NS	-0.319	15.66	30.633	8.531	5.229	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Burkholderia sp. CCGE1002	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	NS	-1.236	15.555	31.127	7.511	3.628	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Methylobacterium sp. 4-46	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Methylobacterium	NS	3.514	15.238	32.913	8.665	7.291	ND	Metli	ND	ND	NS	Nur	ND	Metli	ND
Paraburkholderia caribensis MBA4	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	NS	-1.424	15.209	31.054	5.794	4.593	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Burkholderia sp. YI23	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	NS	1.461	14.486	31.491	5.642	5.807	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Burkholderia sp. RPE64	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	NS	0.962	13.997	30.949	5.837	5.807	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Burkholderia sp. HB1	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	NS	0.302	13.516	30.063	4.489	5.229	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Microcoleus sp. PCC 7113	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Oscillatoriales	 Microcoleus	0	NS	3.055	11.366	29.312	8.809	3.959	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Mesorhizobium loti NZP2037	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Mesorhizobium	NS	-0.216	8.979	30.73	7.897	4.038	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Roseobacter denitrificans OCh 114	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Roseobacter	NS	3.43	8.608	29.275	7.041	6.154	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Chroococcidiopsis thermalis PCC 7203	 Bacteria	 Cyanobacteria	 Pleurocapsales	 Chroococcidiopsis	0	0	NS	3.077	7.325	30.928	8.667	4.453	ND	ND	Oxli	ND	NS	Nur	Oxli	ND	ND
Mesorhizobium opportunistum WSM2075	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Mesorhizobium	NS	1.749	7.209	31.265	7.983	5.043	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Raoultella ornithinolytica	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Raoultella	NS	2.242	7.036	31.414	6.799	3.67	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Burkholderia vietnamiensis G4	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia,	NS	0.786	6.44	31.751	8.498	4.641	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Mesorhizobium australicum WSM2073	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Mesorhizobium	NS	-0.202	6.169	30.72	7.983	4.038	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Mesorhizobium loti MAFF303099	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Mesorhizobium	NS	-0.394	5.887	31.417	7.692	4.038	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Klebsiella michiganensis	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Klebsiella	NS	1.356	5.811	30.601	6.295	2.657	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Azoarcus sp. CIB	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 Azoarcus	NS	3.426	5.764	29.054	7.461	9.08	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Rhodococcus opacus PD630	 Bacteria	 Actinobacteria	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	0	NS	-0.14	5.723	30.024	4.898	2.41	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Rhizobium/Agrobacterium group	NS	-0.852	5.294	29.817	7.739	4.107	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Confluentimicrobium sp. EMB200-NS6	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Confluentimicrobium	NS	2.608	5.033	29.336	7.699	6.275	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Agrobacterium radiobacter K84	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Rhizobium/Agrobacterium group	NS	-1.84	4.978	29.191	4.969	4.802	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Herbaspirillum seropedicae SmR1	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Herbaspirillum	NS	0.161	4.766	31.223	7.701	4.864	ND	ND	ND	ND	NS	Nur	ND	ND	ND
Herbaspirillum rubrisubalbicans M1	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Herbaspirillum	NS	0.161	4.766	31.223	7.701	5.302	ND	ND	ND	ND	NS	Nur	ND	ND	ND
