PFAM	KO	PATHWAY	PATHWAY NAME
PF00120	K01915	1	ammonia assimilation cycle I 
PF03951	K01915	1	ammonia assimilation cycle I 
PF00310	K00264	1	ammonia assimilation cycle I 
PF01493	K00264	1	ammonia assimilation cycle I 
PF01645	K00264	1	ammonia assimilation cycle I 
PF04898	K00264	1	ammonia assimilation cycle I 
PF07992	K00264	1	ammonia assimilation cycle I 
PF14691	K00264	1	ammonia assimilation cycle I 
PF00120	K01915	1	ammonia assimilation cycle I 
PF03951	K01915	1	ammonia assimilation cycle I 
PF00120	K01915	1	ammonia assimilation cycle I 
PF03951	K01915	1	ammonia assimilation cycle I 
PF00120	K01915	2	ammonia assimilation cycle II 
PF03951	K01915	2	ammonia assimilation cycle II 
PF00120		2	ammonia assimilation cycle II 
PF03951		2	ammonia assimilation cycle II 
PF00120	K01915	2	ammonia assimilation cycle II 
PF00120	K01915	2	ammonia assimilation cycle II 
PF03951	K01915	2	ammonia assimilation cycle II 
PF00310	K00284	2	ammonia assimilation cycle II 
PF01493	K00284	2	ammonia assimilation cycle II 
PF01645	K00284	2	ammonia assimilation cycle II 
PF04898	K00284	2	ammonia assimilation cycle II 
PF00120	K01915	2	ammonia assimilation cycle II 
PF12437	K01915	2	ammonia assimilation cycle II 
PF00120	K01915	4	L-glutamine biosynthesis I 
PF03951	K01915	4	L-glutamine biosynthesis I 
PF00120		4	L-glutamine biosynthesis I 
PF03951		4	L-glutamine biosynthesis I 
PF00120	K01915	4	L-glutamine biosynthesis I 
PF03951	K01915	4	L-glutamine biosynthesis I 
PF00120	K01915	4	L-glutamine biosynthesis I 
PF03951	K01915	4	L-glutamine biosynthesis I 
PF00120		4	L-glutamine biosynthesis I 
PF12437		4	L-glutamine biosynthesis I 
PF00120	K01915	5	superpathway of ammonia assimilation (plants)
PF03951	K01915	5	superpathway of ammonia assimilation (plants)
PF16694		6	ammonia oxidation I (aerobic)
PF04896		6	ammonia oxidation I (aerobic)
PF04744	K10945	6	ammonia oxidation I (aerobic)
PF02461	K10944	6	ammonia oxidation I (aerobic)
PF04744	K10945	6	ammonia oxidation I (aerobic)
PF02461	K10944	6	ammonia oxidation I (aerobic)
PF04896	K10946	6	ammonia oxidation I (aerobic)
PF04744	K10945	6	ammonia oxidation I (aerobic)
PF02461	K10944	6	ammonia oxidation I (aerobic)
PF04744	K10945	6	ammonia oxidation I (aerobic)
PF02461	K10944	6	ammonia oxidation I (aerobic)
PF04896	K10946	6	ammonia oxidation I (aerobic)
PF04744	K10945	6	ammonia oxidation I (aerobic)
PF02461	K10944	6	ammonia oxidation I (aerobic)
PF04744	K10945	6	ammonia oxidation I (aerobic)
PF02461	K10944	6	ammonia oxidation I (aerobic)
PF04896	K10946	6	ammonia oxidation I (aerobic)
PF13442	K15864	7	ammonia oxidation II (anaerobic) 
PF07732		7	ammonia oxidation II (anaerobic) 
PF02461	K10944	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF04744	K10945	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF04896	K10946	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF02461	K10944	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF04744	K10945	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF04896	K10946	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF02461	K10944	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF04744	K10945	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF04896	K10946	8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF03264		8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF13435		8	ammonia oxidation IV (autotrophic ammonia oxidizers) 
PF04744	K10945	9	nitrifier denitrification
PF02461	K10944	9	nitrifier denitrification
PF04744	K10945	9	nitrifier denitrification
PF04896	K10946	9	nitrifier denitrification
PF04744	K10945	9	nitrifier denitrification
PF02461	K10944	9	nitrifier denitrification
PF04744	K10945	9	nitrifier denitrification
PF04896	K10946	9	nitrifier denitrification
PF04744	K10945	9	nitrifier denitrification
PF02461	K10944	9	nitrifier denitrification
PF04744	K10945	9	nitrifier denitrification
PF04896	K10946	9	nitrifier denitrification
PF00116	K02275	9	nitrifier denitrification
PF00115	K02274	9	nitrifier denitrification
PF00115	K04561	9	nitrifier denitrification
PF00034	K02305	9	nitrifier denitrification
PF07732		9	nitrifier denitrification
PF13442		9	nitrifier denitrification
PF16694		9	nitrifier denitrification
PF00384	K00370	10	nitrate reduction I (denitrification) 
PF01568	K00370	10	nitrate reduction I (denitrification) 
PF14710	K00370	10	nitrate reduction I (denitrification) 
PF13247	K00371	10	nitrate reduction I (denitrification) 
PF14711	K00371	10	nitrate reduction I (denitrification) 
PF00384	K00370	10	nitrate reduction I (denitrification) 
PF01568	K00370	10	nitrate reduction I (denitrification) 
PF14710	K00370	10	nitrate reduction I (denitrification) 
PF13247	K00371	10	nitrate reduction I (denitrification) 
PF14711	K00371	10	nitrate reduction I (denitrification) 
PF02665	K00374	10	nitrate reduction I (denitrification) 
PF00384	K00370	10	nitrate reduction I (denitrification) 
PF01568	K00370	10	nitrate reduction I (denitrification) 
PF14710	K00370	10	nitrate reduction I (denitrification) 
PF13247	K00371	10	nitrate reduction I (denitrification) 
PF14711	K00371	10	nitrate reduction I (denitrification) 
PF02665	K00374	10	nitrate reduction I (denitrification) 
PF13442		10	nitrate reduction I (denitrification) 
PF00115		10	nitrate reduction I (denitrification) 
PF00034		10	nitrate reduction I (denitrification) 
PF00115	K04561	11	nitrate reduction VII (denitrification) 
PF00115		11	nitrate reduction VII (denitrification) 
PF04744	K10945	12	nitrifier denitrification 
PF04744	K10945	12	nitrifier denitrification 
PF04744	K10945	12	nitrifier denitrification 
PF00116	K02275	12	nitrifier denitrification 
PF00115	K02274	12	nitrifier denitrification 
PF00034	K02305	12	nitrifier denitrification 
PF07732		12	nitrifier denitrification 
PF13442		12	nitrifier denitrification 
PF16694		12	nitrifier denitrification 
PF00384	K00370	13	nitrate reduction I (denitrification) 
PF01568	K00370	13	nitrate reduction I (denitrification) 
PF14710	K00370	13	nitrate reduction I (denitrification) 
PF13247	K00371	13	nitrate reduction I (denitrification) 
PF14711	K00371	13	nitrate reduction I (denitrification) 
PF00384	K00370	13	nitrate reduction I (denitrification) 
PF01568	K00370	13	nitrate reduction I (denitrification) 
PF14710	K00370	13	nitrate reduction I (denitrification) 
PF13247	K00371	13	nitrate reduction I (denitrification) 
PF14711	K00371	13	nitrate reduction I (denitrification) 
PF02665	K00374	13	nitrate reduction I (denitrification) 
PF00384	K00370	13	nitrate reduction I (denitrification) 
PF01568	K00370	13	nitrate reduction I (denitrification) 
PF14710	K00370	13	nitrate reduction I (denitrification) 
PF13247	K00371	13	nitrate reduction I (denitrification) 
PF14711	K00371	13	nitrate reduction I (denitrification) 
PF02665	K00374	13	nitrate reduction I (denitrification) 
PF13442		13	nitrate reduction I (denitrification) 
PF00115		13	nitrate reduction I (denitrification) 
PF00034		13	nitrate reduction I (denitrification) 
PF00384	K00370	15	nitrate reduction III (dissimilatory) 
PF01568	K00370	15	nitrate reduction III (dissimilatory) 
PF14710	K00370	15	nitrate reduction III (dissimilatory) 
PF13247	K00371	15	nitrate reduction III (dissimilatory) 
PF14711	K00371	15	nitrate reduction III (dissimilatory) 
PF13247	K00371	15	nitrate reduction III (dissimilatory) 
PF14711	K00371	15	nitrate reduction III (dissimilatory) 
PF00384	K00370	15	nitrate reduction III (dissimilatory) 
PF01568	K00370	15	nitrate reduction III (dissimilatory) 
PF14710	K00370	15	nitrate reduction III (dissimilatory) 
PF00384	K00370	15	nitrate reduction III (dissimilatory) 
PF01568	K00370	15	nitrate reduction III (dissimilatory) 
PF14710	K00370	15	nitrate reduction III (dissimilatory) 
PF02665	K00374	15	nitrate reduction III (dissimilatory) 
PF13247	K00371	15	nitrate reduction III (dissimilatory) 
PF14711	K00371	15	nitrate reduction III (dissimilatory) 
PF02665	K00374	15	nitrate reduction III (dissimilatory) 
PF13247	K00371	15	nitrate reduction III (dissimilatory) 
PF14711	K00371	15	nitrate reduction III (dissimilatory) 
PF00384	K00370	15	nitrate reduction III (dissimilatory) 
PF01568	K00370	15	nitrate reduction III (dissimilatory) 
PF14710	K00370	15	nitrate reduction III (dissimilatory) 
PF00384	K00370	15	nitrate reduction III (dissimilatory) 
PF01568	K00370	15	nitrate reduction III (dissimilatory) 
PF14710	K00370	15	nitrate reduction III (dissimilatory) 
PF02665	K00374	15	nitrate reduction III (dissimilatory) 
PF13247	K00371	15	nitrate reduction III (dissimilatory) 
PF14711	K00371	15	nitrate reduction III (dissimilatory) 
PF02665	K00374	15	nitrate reduction III (dissimilatory) 
PF13247	K00371	15	nitrate reduction III (dissimilatory) 
PF14711	K00371	15	nitrate reduction III (dissimilatory) 
PF00384	K00370	15	nitrate reduction III (dissimilatory) 
PF01568	K00370	15	nitrate reduction III (dissimilatory) 
PF14710	K00370	15	nitrate reduction III (dissimilatory) 
PF09163	K08349	15	nitrate reduction III (dissimilatory) 
PF12800	K08349	15	nitrate reduction III (dissimilatory) 
PF13247	K08349	15	nitrate reduction III (dissimilatory) 
PF09163	K00124	15	nitrate reduction III (dissimilatory) 
PF13247	K00124	15	nitrate reduction III (dissimilatory) 
PF01292	K08350	15	nitrate reduction III (dissimilatory) 
PF01292	K00127	15	nitrate reduction III (dissimilatory) 
PF00384	K08348	15	nitrate reduction III (dissimilatory) 
PF01568	K08348	15	nitrate reduction III (dissimilatory) 
