SS_2017	SS_2014
16.488	16.711
16.459	16.705
16.394	15.29
16.34	16.656
16.207	16.546
16.171	16.406
16.112	16.503
15.997	16.089
15.918	16.423
15.767	16.442
15.763	16.061
15.712	16.303
15.707	16.303
15.657	16.277
15.652	16.297
15.585	16.087
15.564	16.315
15.5	16.258
15.435	15.958
15.419	16.225
15.416	15.611
15.412	16.225
15.383	16.121
15.383	16.121
15.381	16.127
15.381	16.217
15.355	16.168
15.352	16.211
15.299	16.185
15.276	15.512
15.276	15.512
15.24	16.128
15.236	16.127
15.236	16.127
15.236	16.127
15.236	16.127
15.234	16.127
15.234	16.127
15.234	16.127
15.234	16.127
15.234	16.127
15.217	15.584
15.21	16.121
15.181	16.101
15.177	16.07
15.152	16.095
15.146	16.064
15.146	16.064
15.064	16.252
15.057	15.93
15.021	15.521
14.959	15.876
14.954	15.786
14.954	16.217
14.892	16.07
14.859	15.574
14.854	14.08
14.797	15.098
14.765	14.952
14.765	14.952
14.698	15.611
14.579	15.742
14.577	15.104
14.554	15.253
14.531	15.413
14.512	15.216
14.457	15.19
14.454	14.954
14.452	16.07
14.449	15.291
14.445	15.38
14.418	15.555
14.416	15.383
14.409	15.152
14.407	15.152
14.39	15.354
14.387	15.117
14.382	14.885
14.37	15.11
14.359	15.498
14.35	14.828
14.339	14.72
14.302	15.291
14.248	15.754
14.228	14.115
14.211	13.719
14.175	14.715
14.163	14.147
14.134	15.462
14.125	14.989
14.087	14.544
14.072	14.631
14.035	15.155
14.033	14.925
13.978	14.152
13.966	15.223
13.935	13.535
13.919	14.842
13.916	14.58
13.891	14.731
13.89	14.836
13.853	15.296
13.847	14.107
13.83	14.415
13.817	15.374
13.785	15.216
13.779	14.672
13.752	15.253
13.727	14.684
13.697	14.868
13.691	14.783
13.688	12.88
13.679	15.039
13.676	13.666
13.676	13.544
13.676	13.575
13.676	13.666
13.667	13.453
13.667	13.446
13.667	13.666
13.667	13.446
13.667	13.477
13.667	13.666
13.667	13.544
13.643	14.335
13.639	14.419
13.628	14.861
13.613	15.063
13.611	13.446
13.611	13.446
13.611	13.392
13.611	13.294
13.611	13.446
13.611	13.392
13.611	13.294
13.611	13.294
13.611	13.666
13.599	14.654
13.571	13.575
13.57	14.648
13.569	13.659
13.562	13.355
13.562	13.477
13.562	13.355
13.562	13.477
13.562	13.575
13.562	13.477
13.562	13.575
13.552	13.986
13.552	14.419
13.551	13.477
13.551	13.478
13.533	13.471
13.533	13.471
13.515	13.446
13.515	13.446
13.515	13.446
13.515	13.477
13.515	13.477
13.515	13.568
13.515	13.477
13.506	13.477
13.506	13.355
13.506	13.477
13.506	13.568
13.506	13.355
13.506	13.477
13.506	13.477
13.506	13.568
13.506	13.568
13.506	13.568
13.506	13.446
13.506	13.568
13.506	13.477
13.506	13.568
13.506	13.477
13.506	13.568
13.506	13.568
13.506	13.568
13.506	13.568
13.506	13.568
13.506	13.568
13.495	13.265
13.495	13.265
13.495	13.387
13.495	14.235
13.479	14.071
13.477	13.471
13.459	13.568
13.455	13.363
13.45	13.446
13.45	13.294
13.45	13.568
13.45	13.294
13.45	13.568
13.45	13.294
13.45	13.294
13.45	13.355
13.45	13.568
13.45	13.568
13.45	13.294
13.446	13.454
13.446	13.363
13.446	13.265
13.446	13.485
13.446	13.387
13.446	13.363
13.439	14.124
13.424	14.528
13.421	13.44
13.421	13.44
13.421	13.288
13.41	13.477
13.41	13.477
13.41	13.477
13.401	13.477
13.401	13.456
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.568
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.355
13.401	13.477
13.401	13.355
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.401	13.477
13.392	13.945
13.39	13.265
13.39	13.363
13.39	13.356
13.39	13.363
13.39	13.477
13.39	13.355
13.387	14.268
13.38	14.121
13.372	13.419
13.372	13.471
13.372	13.349
13.372	13.471
13.372	13.419
13.372	13.471
13.371	14.326
13.361	13.259
13.345	13.355
13.334	13.265
13.334	13.387
13.334	13.356
13.334	13.387
13.325	13.911
13.323	13.349
13.316	13.349
13.302	14.73
13.285	13.265
13.285	13.265
13.285	13.387
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.477
13.285	13.355
13.285	13.355
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.265
13.285	13.387
13.285	13.387
13.285	13.265
13.285	13.355
13.269	13.44
13.266	13.552
13.256	13.259
13.246	14.179
13.233	13.836
13.229	12.837
13.229	13.265
13.229	13.387
13.229	13.265
13.229	13.265
13.229	13.265
13.229	13.265
13.229	13.265
13.229	13.265
13.229	13.477
13.219	13.265
13.2	13.259
13.2	13.349
13.185	12.557
13.178	13.996
13.173	13.685
13.158	13.355
13.158	14.114
13.156	13.963
13.152	14.111
13.151	13.238
13.151	14.328
13.15	13.161
13.128	14.095
13.116	13.8
13.116	13.8
13.101	13.288
13.039	14.286
13.027	13.367
12.994	13.473
12.965	14.476
12.958	12.055
12.943	13.267
12.938	13.259
12.933	13.44
12.929	13.107
12.929	13.107
12.927	13.481
12.906	13.446
12.902	14.419
12.884	13.562
12.88	12.803
12.869	13.326
12.863	14.479
12.863	14.479
12.857	13.273
12.815	13.986
12.812	13.613
12.8	13.265
12.781	13.765
12.772	14.455
12.771	12.831
12.77	13.265
12.749	13.85
12.734	13.512
12.714	13.3
12.695	14.034
12.678	13.984
12.658	13.502
12.658	13.6
12.658	14.249
12.658	13.502
12.64	12.902
12.636	12.837
12.636	12.923
12.628	12.759
12.619	13.356
12.614	12.605
12.61	13.492
12.607	13.259
12.587	13.349
12.576	12.644
12.568	13.03
12.563	13.282
12.561	13.334
12.547	12.638
12.544	13.098
12.533	13.005
12.513	12.839
12.504	13.44
