SS_2017	SS_2014
0.035	0.097
0.035	0.097
0.052	0.135
0.052	0.135
0.052	0.135
0.06	0.166
0.06	0.166
0.076	0.243
0.077	0.204
0.077	0.204
0.077	0.204
0.085	0.138
0.108	0.33
0.207	0.362
0.25	0.533
0.25	0.533
0.251	0.27
0.253	0.561
0.258	0.436
0.282	0.603
0.287	0.523
0.292	0.385
0.325	0.635
0.359	1.185
0.409	0.799
0.432	0.627
0.432	0.596
0.449	0.522
0.459	0.629
0.488	0.551
0.494	0.868
0.568	1.076
0.702	1.258
0.716	1.506
0.727	1.279
0.801	1.332
0.801	1.303
0.822	1.278
0.872	1.434
0.885	1.601
0.915	1.544
0.942	1.746
0.947	1.604
0.947	1.604
0.947	1.604
0.947	1.604
0.986	1.678
1.058	1.64
1.102	1.699
1.106	1.773
1.11	1.59
1.186	1.994
1.186	2.044
1.206	1.465
1.224	1.53
1.23	2.496
1.295	2.015
1.3	2.044
1.35	2.218
1.372	1.795
1.395	2.46
1.4	2.584
1.401	2.488
1.403	2.784
1.434	2.371
1.44	2.985
1.563	3.84
1.574	3.118
1.578	2.548
1.578	2.548
1.593	2.071
1.681	2.174
1.681	2.174
1.681	2.248
1.686	2.396
1.694	2.203
1.736	2.29
1.741	2.84
1.744	2.564
1.764	2.511
1.8	2.351
1.845	2.409
1.845	2.409
1.845	2.454
1.85	2.438
1.946	2.742
1.954	3.338
1.982	2.704
1.989	3.1
2.044	2.184
2.044	2.184
2.084	3.036
2.087	3.163
2.114	3.309
2.114	3.309
2.119	3.338
2.146	2.284
2.209	2.3
2.254	3.039
2.255	2.596
2.258	3.061
2.304	4.31
2.323	2.616
2.331	2.965
2.335	2.431
2.341	2.817
2.341	2.602
2.367	2.828
2.388	3.488
2.389	3.619
2.405	2.405
2.406	2.196
2.406	2.196
2.422	3.944
2.423	2.519
2.439	3.597
2.47	2.664
2.48	3.082
2.491	2.427
2.511	2.373
2.513	3.77
2.536	4.521
2.54	4.028
2.559	2.456
2.589	2.616
2.64	4.065
2.647	3.099
2.649	2.889
2.649	2.889
2.652	2.542
2.667	2.508
2.685	4.256
2.686	3.221
2.686	2.616
2.686	2.616
2.686	2.647
2.699	2.976
2.699	2.976
2.713	3.8
2.724	2.542
2.727	2.801
2.729	3.66
2.729	3.66
2.729	3.691
2.746	3.682
2.75	3.084
2.752	2.933
2.778	3.324
2.778	3.781
2.797	3.572
2.816	3.614
2.818	2.877
2.83	3.724
2.851	4.228
2.851	4.228
2.872	3.207
2.888	4.865
2.914	3.927
2.92	3.305
2.961	4.105
2.974	3.395
2.993	3.366
3.016	3.591
3.022	3.644
3.022	3.644
3.051	3.6
3.081	3.831
3.084	3.182
3.126	3.601
3.156	3.736
3.157	3.579
3.161	3.499
3.169	3.111
3.171	3.342
3.192	3.598
3.193	3.556
3.193	3.962
3.196	3.566
3.204	4.139
3.216	4.036
3.239	4.683
3.258	3.335
3.273	5.278
3.277	4.195
3.288	3.333
3.306	5.02
3.311	4.051
3.326	4.911
3.326	4.882
3.364	3.339
3.371	3.989
3.374	4.051
3.374	4.051
3.374	4.331
3.384	3.592
3.421	4.105
3.423	4.388
3.437	4.893
3.444	3.997
3.458	5.738
3.481	4.445
3.483	4.673
3.527	3.755
3.531	5.976
3.547	3.656
3.547	4.072
3.549	4.279
3.556	3.739
3.556	3.739
3.559	5.148
3.605	4.932
3.645	4.67
3.657	3.099
3.668	5.259
3.717	3.779
3.723	3.643
3.725	5.148
3.744	5.608
3.747	3.573
3.748	5.016
3.781	4.561
3.785	3.853
3.815	4.522
3.816	4.333
3.872	4.608
3.894	3.793
3.899	4.941
3.925	4.367
3.928	4.809
3.928	4.411
3.936	4.205
3.98	5.049
3.985	4.88
3.985	4.184
3.989	5.917
3.996	5.168
4.006	4.728
4.012	5.08
4.023	4.648
4.028	5.075
4.03	4.942
4.054	4.977
4.076	4.901
4.077	5.742
4.078	3.476
4.079	4.352
4.119	5.324
4.12	4.417
4.163	4.868
4.179	5.671
4.182	4.564
4.184	4.906
4.184	4.906
4.184	5.522
4.184	4.906
4.209	5.903
4.211	4.842
4.228	4.248
4.232	5.595
4.232	5.155
4.232	5.949
4.232	5.155
4.244	4.972
4.267	5.058
4.275	5.578
4.297	6.037
4.303	3.67
4.305	3.884
4.332	5.239
4.332	4.137
4.34	5.261
4.34	5.261
4.35	4.575
4.351	5.801
4.356	5.652
4.366	4.902
4.386	5.557
4.399	5.239
4.432	4.715
4.45	5.426
4.451	5.726
4.464	4.727
4.464	5.261
4.479	5.873
4.482	6.375
4.493	5.536
4.502	5.481
4.504	5.538
4.519	5.728
4.524	4.315
4.537	6.538
4.537	5.346
4.541	5.652
4.541	5.83
4.575	5.73
4.577	5.844
4.581	3.944
4.587	4.568
4.587	4.411
4.616	6.099
4.617	5.914
4.621	6.067
4.632	5.659
4.669	4.387
4.669	5.731
4.669	5.553
4.676	4.005
4.68	5.908
4.683	5.995
4.693	5.701
4.693	5.701
4.693	5.701
4.717	4.139
4.719	5.771
4.72	4.912
4.744	5.218
4.765	4.648
4.767	6.079
4.776	4.442
4.778	6.238
4.797	6.065
4.81	4.766
4.811	7.022
4.813	6.28
4.847	6.787
4.858	6.086
4.86	4.517
4.877	4.755
4.882	5.199
4.89	6.01
4.906	5.434
4.909	4.91
4.926	5.7
4.928	5.793
4.94	5.844
4.94	5.785
4.958	6.256
4.97	6.762
4.971	6.313
4.974	5.863
4.977	6.271
4.977	5.908
4.978	6.415
4.991	6.458
4.998	6.094
5.022	5.993
5.051	6.079
5.091	4.13
5.118	5.844
5.118	6.022
5.124	3.9
5.126	7.394
5.129	6.868
5.131	6.52
5.138	5.917
5.139	6.965
5.152	6.716
5.152	6.538
5.172	6.35
5.177	6.878
5.178	6.305
5.186	6.96
5.186	6.96
5.235	6.075
5.253	6.58
5.261	5.611
5.265	6.119
5.27	7.02
5.283	5.659
5.291	6.526
5.292	7.122
5.295	5.917
5.303	5.605
5.304	5.874
5.307	6.318
5.309	6.421
5.309	6.421
5.309	6.421
5.315	5.626
5.316	6.842
5.316	6.889
5.32	7.38
5.322	6.171
5.324	7.357
5.33	6.277
5.343	6.306
5.347	6.6
5.348	6.671
5.364	6.344
5.365	6.072
5.369	6.841
5.375	5.288
5.385	5.992
5.388	6.226
5.409	6.589
5.41	5.414
5.426	5.548
5.427	5.261
5.441	6.335
5.446	5.892
5.451	6.647
5.452	5.684
5.47	6.944
5.491	6.357
5.491	6.535
5.492	6.787
5.508	6.099
5.508	6.099
5.512	6.412
5.516	5.853
5.518	6.568
5.525	6.611
5.527	5.304
5.544	7.648
5.545	5.673
5.551	5.261
5.551	5.261
5.561	6.2
5.586	6.504
5.586	6.944
5.586	6.504
5.586	6.504
5.592	7.016
5.606	6.362
5.614	6.276
5.627	6.264
5.631	6.608
5.634	6.812
5.642	5.458
5.643	6.601
5.646	5.579
5.657	5.244
5.661	6.954
5.662	6.525
5.664	7.343
5.669	7.882
5.672	6.068
5.672	5.586
5.673	7.754
5.68	7.712
5.683	6.914
5.69	7.213
5.695	6.33
5.73	6.828
5.733	7.333
5.735	5.597
5.748	6.289
5.759	7.165
5.764	6.965
5.773	5.481
5.775	5.681
5.799	6.14
5.799	6.283
5.8	7.44
5.8	5.013
5.805	7.236
5.809	6.394
5.815	6.335
5.823	7.562
5.827	6.447
5.832	7.192
5.833	6.428
5.834	6.947
5.848	5.157
5.868	7.064
5.875	5.555
5.887	5.056
5.902	6.61
5.922	7.684
5.926	6.563
5.928	6.676
5.928	5.634
5.929	7.209
5.931	5.278
5.933	6.022
5.934	7.214
5.937	6.88
5.942	6.965
5.951	7.691
5.952	7.177
5.953	7.442
5.961	7.465
5.966	5.65
5.966	7.494
5.97	7.741
5.979	6.753
5.992	7.049
6.008	8.178
6.008	7.178
6.014	6.949
6.024	6.527
6.042	7.713
6.058	6.095
6.058	6.854
6.068	6.634
6.072	8.005
6.088	6.213
6.092	6.821
6.093	7.32
6.098	7.468
6.1	7.729
6.111	6.047
6.113	6.859
6.113	7.24
6.117	7.072
6.128	7.35
6.13	8.356
6.13	7.172
6.131	7.442
6.131	6.889
6.148	7.978
6.15	7.722
6.154	7.549
6.159	6.885
6.16	7.116
6.161	7.108
6.162	6.8
6.163	5.831
6.165	7.499
6.174	5.906
6.179	7.337
6.179	6.299
6.182	6.812
6.194	8.044
6.202	7.798
6.202	7.843
6.202	7.049
6.206	5.762
6.206	5.762
6.216	8.318
6.25	8.005
6.25	7.827
6.25	8.005
6.269	6.959
6.282	7.694
6.284	7.797
6.285	7.144
6.305	7.835
6.305	7.617
6.318	7.51
6.335	7.106
6.338	6.703
6.353	8.178
6.353	6.315
6.358	5.731
6.366	7.536
6.377	8.279
6.38	6.898
6.402	6.303
6.418	7.709
6.421	6.853
6.43	7.841
6.44	7.501
6.446	7.714
6.457	7.524
6.461	8.075
6.479	8.17
6.484	8.06
6.49	5.761
6.497	7.901
6.508	6.022
6.512	6.553
6.534	6.733
6.575	9.108
6.582	7.289
6.587	6.549
6.596	7.711
6.599	7.175
6.619	8.179
6.623	8.261
6.623	7.141
6.625	8.478
6.625	8.478
6.628	7.702
6.64	8.165
6.667	7.672
6.67	6.832
6.684	7.309
6.684	7.772
6.687	7.53
6.691	7.409
6.694	7.177
6.711	7.138
6.724	8.889
6.733	7.739
6.735	7.563
6.74	6.584
6.742	7.13
6.753	9.32
6.759	6.864
6.784	7.959
6.791	7.655
6.799	7.33
6.805	8.581
6.809	8.196
6.809	8.258
6.813	7.456
6.818	8.427
6.829	8.474
6.837	7.851
6.843	8.524
6.848	7.648
6.852	8.202
6.855	6.859
6.857	7.58
6.87	8.284
6.873	7.399
6.88	8.178
6.887	7.827
6.887	7.827
6.888	7.391
6.891	7.726
6.894	8.472
6.905	7.692
6.907	8.085
6.915	7.708
6.916	7.946
6.92	7.617
6.926	6.6
6.927	7.392
6.94	6.96
6.951	6.71
6.953	8.44
6.953	8.318
6.957	8.409
6.968	8.47
6.973	7.559
6.977	8.628
6.987	8.303
6.987	8.303
7.012	6.999
7.035	8.552
7.064	8.724
7.064	8.605
7.065	8.292
7.068	7.455
7.084	9.039
7.097	9.255
7.097	9.255
7.097	8.425
7.098	7.563
7.103	8.208
7.112	8.854
7.112	7.463
7.118	6.306
