ID 	MSL	SS	SS_pos 	SS_2014	biome	feature	material	env_package	location	latitude	longitude	depth
4441663.3	158	9.986	14.765	14.952	hydrothermal vent	hydrothermal vent	hydrothermal vent	water	Black smoker chimneys on East Pacific Rise	9.84	-104.28	2500
4441102.3	158	9.986	14.765	14.952	hydrothermal vent	hydrothermal vent	hydrothermal vent	water	Black smoker chimneys on East Pacific Rise	9.84	-104.28	2500
4451035.3	79	9.918	16.459	16.705	Mangrove biome	intertidal zone	estuarine mud	soil	Bertioga	-25.08389	-45.25083	0
4441022.3	75	9.855	16.394	15.29	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	36.166	139.651	0
4524971.3	52	9.755	16.488	16.711	aquatic biome	microbial feature	sludge	wastewater|sludge	shenzhen xili	22	114	0
4557986.3	73	9.713	16.34	16.656	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4441021.3	76	9.668	16.207	16.546	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	35.938	139.488	0
4451034.3	76	9.654	16.171	16.406	Mangrove biome	intertidal zone	estuarine mud	soil	Bertioga	-23.90167	-45.25083	0
4451033.3	76	9.595	16.112	16.503	Mangrove biome	intertidal zone	estuarine mud	soil	Bertioga	-23.89694	-46.20778	0
4493725.3	223	9.547	15.652	16.297	activated sludge	lake	water	wastewater|sludge	Jiangsu	32.05	118.72	0
4440984.3	76	9.468	15.997	16.089	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	35.551	138.88	0
4441020.3	76	9.348	15.767	16.442	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	35.79	139.31	0
4451036.3	72	9.315	15.918	16.423	Mangrove biome	intertidal zone	estuarine mud	soil	Cananeia	-25.08389	-47.95056	0
4504798.3	128	9.314	15.763	16.061	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.827222	-93.008611	0
4525341.3	172	9.287	15.435	15.958	marine biome	coast	marine sediment	host-associated	Elba, Sant Andrea	42.807838	10.143549	0
4441599.3	245	9.274	15.712	16.303	marine habitat	marine habitat	marine habitat	water	Punta Cormorant, Hypersaline Lagoon, Floreana Island	-1.2283	-90.4292	0.2 m
4441598.3	230	9.272	15.707	16.303	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - Mangrove on Isabella Island	-0.59389	-91.06944	0.1
4441574.3	227	9.197	15.657	16.277	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	32.1748	-64.01017	5
4504797.3	127	9.156	15.585	16.087	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.771111	-92.961667	0
4621756.3	99	9.093	15.564	16.315	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4621757.3	100	9	15.412	16.225	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4621759.3	106	8.978	15.5	16.258	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4485982.3	101	8.967	15.383	16.121	Mangrove biome	intertidal zone	estuarine mud	miscellaneous	Ilha Grande	-23.169959	-44.283389	0
4485219.3	101	8.967	15.383	16.121	Mangrove biome	intertidal zone	estuarine mud	miscellaneous	Ilha Grande	-23.169959	-44.283389	0
4621755.3	102	8.945	15.355	16.168	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4442626.3	233	8.943	15.276	15.512	marine habitat	marine habitat	marine habitat	water	Upwelling, Fernandina Island	-0.30111	-91.65167	12
4441597.3	233	8.943	15.276	15.512	marine habitat	marine habitat	marine habitat	water	Upwelling, Fernandina Island	0.30111	-91.65167	12
4454153.3	115	8.916	15.236	16.127	biofilm	biofilm	biofilm	microbial mat|biofilm	USA:Cape Cod:Sippewissett Marsh	41.575836	-70.639233	0.25
4441620.3	229	8.899	15.217	15.584	fossil	fossil	fossil	host-associated	Pacific Ocean, Santa Cruz Basin	33.3	119.22	1674
4549766.3	83	8.863	15.419	16.225	freshwater biome	hydrographic feature	microbial mat material	microbial mat|biofilm	Little Hot Creek	37.694518	-118.816545	0
4493726.3	233	8.818	15.064	16.252	activated sludge	lake	water	wastewater|sludge	Jiangsu	32.05	118.72	0
4461840.3	102	8.813	15.381	16.127	soil	soil	soil	soil	Lucknow	27.0, 24.7	81.08, 57.8	.02 ; Meter
4449956.3	113	8.801	15.381	16.217	terrestrial biome	plant-associated habitat	organic material	plant-associated	Los Banos	14.1387	121.26159	0
4461011.3	107	8.784	15.352	16.211	soil	soil	soil	soil	Lucknow	27	81	.02 ; Meter
4539508.3	113	8.777	15.236	16.127	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	150
4621763.3	99	8.775	15.236	16.127	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4539507.3	103	8.772	15.21	16.121	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	150
4621754.3	103	8.755	15.236	16.127	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4621753.3	103	8.751	15.234	16.127	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4453246.3	110	8.739	15.299	16.185	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4549767.3	86	8.721	15.234	16.127	freshwater biome	hydrographic feature	microbial mat material	microbial mat|biofilm	Little Hot Creek	37.694518	-118.816545	0
4539513.3	109	8.71	15.181	16.101	oceanic mesopelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	300
4621752.3	104	8.696	15.177	16.07	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4491734.3	53	8.683	15.416	15.611	Polar domain (100)	Glacial feature	microbial mat	sediment	Europe	46.5	11.03	0
4449103.3	123	8.681	15.152	16.095	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	200
4446153.3	125	8.674	15.24	16.128	soil	soil	soil	soil	subtropical lower montane wet forest in the Luquillo Experimental Forest	18.3	-65.833	0-.1
4485981.3	104	8.668	15.234	16.127	Mangrove biome	intertidal zone	estuarine mud	miscellaneous	Porto Seguro	-16.588118	-39.091845	0
4485218.3	101	8.668	15.234	16.127	Mangrove biome	intertidal zone	estuarine mud	miscellaneous	Porto Seguro	-16.588118	-39.091845	0
4550960.3	89	8.666	15.234	16.127	freshwater biome	hydrographic feature	microbial mat material	microbial mat|biofilm	Little Hot Creek	37.694518	-118.816545	0
4453254.3	108	8.62	15.146	16.064	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4441363.3	68	8.6	15.021	15.521	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.8234444	-102.0147778	1
4443681.3	242	8.589	12.927	13.481	freshwater	freshwater	freshwater	water	Ace Lake Vestfold Hills, Antarctica	-68.4	78.182778	12.7
4453406.3	108	8.586	15.146	16.064	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4539511.3	100	8.545	14.797	15.098	oceanic mesopelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	200
4621760.3	106	8.544	15.057	15.93	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4539502.3	111	8.488	14.959	15.876	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	40
4557997.3	87	8.466	14.892	16.07	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4441573.3	221	8.465	14.698	15.611	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
4441617.3	218	8.447	14.554	15.253	marine habitat	marine habitat	marine habitat	water	Indian Ocean - East coast Zanzibar (Tanzania), offshore Paje lagoon	-6.3167	39.55	0.3
4621761.3	101	8.441	14.954	15.786	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.848087	-102.141608	0
4478939.3	141	8.436	14.854	14.08	Tropical and subtropical moist broadleaf forest biome	agricultural soil	rhizosphere	soil	Amazonia	-11.7412664	-56.2533385	0
4441603.3	228	8.421	14.859	15.574	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Moorea, Cooks Bay	-17.47583	-149.8122	1.4
4460189.3	112	8.384	14.954	16.217	estuarine biome	estuarine bulk water	water	water	Puget Sound, WA	47.683889	122.406944	0.5
4478350.3	299	8.381	13.891	14.731	cultured habitat	cultured habitat	cultured habitat	soil	Berkeley, CA	37.786111	-122.318611	0 ; Meter
4446342.3	104	8.376	14.579	15.742	estuarine biome	marine benthic feature	sandy sediment	sediment	Port Flinders	33.1025	128.023	0
4441610.3	233	8.304	14.512	15.216	marine habitat	marine habitat	marine habitat	water	Indian Ocean	-7.0075	76.3314	1.8
4441215.3	68	8.278	13.185	12.557	marine bathyal zone biome	abyssal plain	marine sediment	sediment	Gulf of Mexico	27.30134833	-94.38756167	1470
4441143.3	231	8.249	14.457	15.19	marine habitat	marine habitat	marine habitat	water	Block Island, NY	41.091	-71.602	1
4516220.3	174	8.227	13.83	14.415	freshwater biome	extreme high temperature habitat	sediment	sediment	USA Great Basin Desert, Great Boiling Spring	40.65833	-119.37772	0.01
4441613.3	218	8.221	14.454	14.954	marine habitat	marine habitat	marine habitat	water	Indian Ocean - St. Anne Island, Seychelles	-4.6136	55.5086	1.8
4441611.3	218	8.174	14.407	15.152	marine habitat	marine habitat	marine habitat	water	Indian Ocean - 500 Miles west of the Seychelles in the Indian Ocean	-4.99028	64.9767	1.5
