DATABASE	ID_DB
Hamap	MF_01229
Hamap	MF_00063
Hamap	MF_00065
Hamap	MF_00064
Hamap	MF_01009
Hamap	MF_00066
Hamap	MF_00062
Hamap	MF_01541
Hamap	MF_01540
Pfam	PF03358
Pfam	PF01515
Pfam	PF00296
Pfam	PF00378
Pfam	PF00171
Pfam	PF00106
Pfam	PF02615
Pfam	PF02776
Pfam	PF02775
Pfam	PF13577
Pfam	PF00202
Pfam	PF13247
Pfam	PF09459
Pfam	PF07883
Pfam	PF00291
Pfam	PF04295
Pfam	PF00389
Pfam	PF02826
Pfam	PF00355
Pfam	PF02668
Pfam	PF04663
Pfam	PF02406
Pfam	PF02332
Pfam	PF06099
Pfam	PF01613
Pfam	PF01070
Pfam	PF00557
Pfam	PF01087
Pfam	PF02167
Pfam	PF07680
Pfam	PF04173
Pfam	PF01507
Pfam	PF13746
Pfam	PF01583
Pfam	PF03916
Pfam	PF07992
Pfam	PF12838
Pfam	PF00037
Pfam	PF00528
Pfam	PF00005
Pfam	PF04069
Pfam	PF01553
Pfam	PF00581
Pfam	PF01292
Pfam	PF07682
Pfam	PF00484
Pfam	PF01370
Pfam	PF00034
Pfam	PF01058
Pfam	PF13442
Pfam	PF00534
Pfam	PF13579
Pfam	PF00501
Pfam	PF13193
Pfam	PF00848
Pfam	PF00384
Pfam	PF01568
Pfam	PF01571
Pfam	PF08669
Pfam	PF04945
Pfam	PF00174
Pfam	PF03404
Pfam	PF01077
Pfam	PF03460
Pfam	PF00890
Pfam	PF02910
Pfam	PF12139
Pfam	PF01747
Pfam	PF14306
Pfam	PF09242
Pfam	PF00009
Pfam	PF03144
Pfam	PF12798
Pfam	PF02515
Pfam	PF00374
Pfam	PF12857
Pfam	PF00205
Pfam	PF00175
Pfam	PF00970
Pfam	PF00111
Pfam	PF00667
Pfam	PF00258
Pfam	PF10418
Pfam	PF04879
Pfam	PF00441
Pfam	PF12806
Pfam	PF02771
Pfam	PF02770
Pfam	PF10518
Pfam	PF01208
Pfam	PF13183
Pfam	PF12831
Pfam	PF09084
Pfam	PF02665
Pfam	PF04358
Pfam	PF04077
Pfam	PF02635
Pfam	PF13501
Pfam	PF08770
Pfam	PF02872
Pfam	PF01547
Pfam	PF01384
Pfam	PF02662
Pfam	PF13237
Pfam	PF13360
Pfam	PF13570
Pfam	PF01011
Pfam	PF00459
Pfam	PF00124
Pfam	PF11511
Pfam	PF00556
Pfam	PF05398
Pfam	PF03967
Pfam	PF05239
PRINTS	PR00081
PRINTS	PR00080
PRINTS	PR00604
PRINTS	PR00090
PRINTS	PR00407
PRINTS	PR00397
PRINTS	PR00315
PRINTS	PR00410
PRINTS	PR00369
PRINTS	PR00371
PRINTS	PR01607
PRINTS	PR00256
PRINTS	PR00673
PRINTS	PR00674
ProDom	PD004249
ProDom	PD468738
ProSitePatterns	PS00166
ProSitePatterns	PS00070
ProSitePatterns	PS00687
ProSitePatterns	PS00061
ProSitePatterns	PS00600
ProSitePatterns	PS00670
ProSitePatterns	PS00671
ProSitePatterns	PS00198
ProSitePatterns	PS00211
ProSitePatterns	PS00455
ProSitePatterns	PS00932
ProSitePatterns	PS00365
ProSitePatterns	PS00380
ProSitePatterns	PS00683
ProSitePatterns	PS00301
ProSitePatterns	PS00508
ProSitePatterns	PS00187
ProSitePatterns	PS00197
ProSitePatterns	PS00551
ProSitePatterns	PS00490
ProSitePatterns	PS00401
ProSitePatterns	PS00757
ProSitePatterns	PS00630
ProSitePatterns	PS00629
ProSitePatterns	PS00244
ProSitePatterns	PS00968
ProSitePatterns	PS00969
ProSiteProfiles	PS51379
ProSiteProfiles	PS51296
ProSiteProfiles	PS51349
ProSiteProfiles	PS51318
ProSiteProfiles	PS50928
ProSiteProfiles	PS50893
ProSiteProfiles	PS51250
ProSiteProfiles	PS50206
ProSiteProfiles	PS51007
ProSiteProfiles	PS51669
ProSiteProfiles	PS51237
ProSiteProfiles	PS51384
ProSiteProfiles	PS51085
ProSiteProfiles	PS50902
ProSiteProfiles	PS51008
ProSiteProfiles	PS51291
SMART	SM00903
SMART	SM00382
SMART	SM00062
SMART	SM00563
SMART	SM00450
SMART	SM00947
SMART	SM00926
SMART	SM00564
SUPERFAMILY	SSF52218
SUPERFAMILY	SSF53659
SUPERFAMILY	SSF51679
SUPERFAMILY	SSF52096
SUPERFAMILY	SSF53720
SUPERFAMILY	SSF51735
SUPERFAMILY	SSF89733
SUPERFAMILY	SSF52518
SUPERFAMILY	SSF54427
SUPERFAMILY	SSF53383
SUPERFAMILY	SSF54862
SUPERFAMILY	SSF51182
SUPERFAMILY	SSF53686
SUPERFAMILY	SSF52283
SUPERFAMILY	SSF50022
SUPERFAMILY	SSF51197
SUPERFAMILY	SSF56029
SUPERFAMILY	SSF47240
SUPERFAMILY	SSF50475
SUPERFAMILY	SSF51395
SUPERFAMILY	SSF55920
SUPERFAMILY	SSF53092
SUPERFAMILY	SSF54197
SUPERFAMILY	SSF46626
SUPERFAMILY	SSF52402
SUPERFAMILY	SSF46548
SUPERFAMILY	SSF52540
SUPERFAMILY	SSF51905
SUPERFAMILY	SSF161098
SUPERFAMILY	SSF53850
SUPERFAMILY	SSF69593
SUPERFAMILY	SSF52821
SUPERFAMILY	SSF81342
SUPERFAMILY	SSF54909
SUPERFAMILY	SSF53056
SUPERFAMILY	SSF56770
SUPERFAMILY	SSF53756
SUPERFAMILY	SSF56801
SUPERFAMILY	SSF55961
SUPERFAMILY	SSF53706
SUPERFAMILY	SSF50692
SUPERFAMILY	SSF103025
SUPERFAMILY	SSF101790
SUPERFAMILY	SSF56524
SUPERFAMILY	SSF81296
SUPERFAMILY	SSF55124
SUPERFAMILY	SSF56014
SUPERFAMILY	SSF56425
SUPERFAMILY	SSF46977
SUPERFAMILY	SSF52374
SUPERFAMILY	SSF88697
SUPERFAMILY	SSF55424
SUPERFAMILY	SSF50465
SUPERFAMILY	SSF50447
SUPERFAMILY	SSF89796
SUPERFAMILY	SSF56762
SUPERFAMILY	SSF50331
SUPERFAMILY	SSF52467
SUPERFAMILY	SSF52343
SUPERFAMILY	SSF63380
SUPERFAMILY	SSF54292
SUPERFAMILY	SSF56645
SUPERFAMILY	SSF47203
SUPERFAMILY	SSF51726
SUPERFAMILY	SSF48695
SUPERFAMILY	SSF103501
SUPERFAMILY	SSF69721
SUPERFAMILY	SSF75169
SUPERFAMILY	SSF56300
SUPERFAMILY	SSF55816
SUPERFAMILY	SSF50998
SUPERFAMILY	SSF56655
SUPERFAMILY	SSF81483
SUPERFAMILY	SSF56918
SUPERFAMILY	SSF50346
SUPERFAMILY	SSF81490
TIGRFAM	TIGR03567
TIGRFAM	TIGR00651
TIGRFAM	TIGR04021
TIGRFAM	TIGR01780
TIGRFAM	TIGR03845
TIGRFAM	TIGR03846
TIGRFAM	TIGR03478
TIGRFAM	TIGR03477
TIGRFAM	TIGR01275
TIGRFAM	TIGR03565
TIGRFAM	TIGR03860
TIGRFAM	TIGR02055
TIGRFAM	TIGR02910
TIGRFAM	TIGR02057
TIGRFAM	TIGR00434
