SS	SS_2014_up
9.668	12.435
9.755	12.3
8.916	12.251
9.918	12.196
9.348	12.196
8.863	12.182
8.072	12.143
9.272	12.142
9.654	12.139
9.468	12.127
8.777	12.103
9.274	12.082
8.384	12.059
8.801	11.996
8.721	11.969
8.967	11.961
8.967	11.961
8.772	11.958
8.813	11.943
8.668	11.943
8.668	11.943
8.666	11.943
8.488	11.906
9.547	11.873
9.595	11.86
8.71	11.857
8.784	11.851
9.197	11.837
8.818	11.743
9.986	11.741
9.986	11.741
8.681	11.712
8.465	11.701
9.315	11.7
9.156	11.697
9.287	11.673
9.314	11.664
8.674	11.61
8.376	11.597
8.943	11.594
8.943	11.594
7.996	11.589
8.62	11.548
8.586	11.533
7.696	11.512
8.739	11.491
7.577	11.488
8.421	11.467
8.683	11.454
8.447	11.441
7.813	11.44
8.174	11.438
7.983	11.424
7.519	11.389
7.346	11.381
7.42	11.38
9.855	11.369
7.773	11.355
7.907	11.343
7.323	11.343
8.304	11.33
8.02	11.307
8.221	11.287
8.249	11.205
8.139	11.2
8.6	11.139
7.549	11.137
7.463	11.098
8.545	11.094
7.848	11.073
7.879	11.043
7.746	11.043
7.358	11.042
7.372	10.974
8.589	10.955
8.025	10.951
6.677	10.94
7.431	10.936
7.933	10.924
7.581	10.92
6.539	10.905
6.808	10.893
6.61	10.889
8.899	10.878
7.944	10.865
7.219	10.83
8.006	10.824
8.132	10.797
6.98	10.783
6.694	10.778
7.39	10.75
7.825	10.715
7.781	10.685
5.994	10.683
5.994	10.683
8.381	10.678
7.715	10.647
7.781	10.631
7.652	10.626
6.826	10.603
7.359	10.602
7.762	10.595
7.737	10.595
7.721	10.589
7.666	10.589
7.086	10.574
6.829	10.574
7.762	10.57
8.227	10.566
7.753	10.56
7.676	10.558
7.243	10.544
7.219	10.542
7.755	10.538
6.881	10.526
6.53	10.525
6.53	10.525
7.592	10.509
7.592	10.509
7.536	10.509
7.536	10.509
7.62	10.507
7.515	10.507
7.515	10.507
7.648	10.506
7.648	10.506
6.085	10.495
7.601	10.49
7.601	10.49
6.482	10.49
7.541	10.48
7.592	10.472
7.601	10.471
7.545	10.471
7.753	10.462
7.342	10.457
6.08	10.454
7.532	10.453
6.1	10.448
7.601	10.446
7.602	10.436
7.602	10.436
7.592	10.436
7.592	10.436
7.592	10.436
7.592	10.436
7.592	10.436
7.592	10.436
7.592	10.436
7.592	10.436
7.543	10.436
7.536	10.436
7.487	10.436
6.911	10.435
7.344	10.428
7.496	10.417
7.708	10.416
7.592	10.411
6.923	10.41
7.543	10.409
7.524	10.409
7.753	10.408
7.772	10.399
7.506	10.399
7.637	10.383
7.658	10.382
7.648	10.382
7.648	10.382
7.603	10.382
7.592	10.382
7.506	10.382
7.499	10.382
7.489	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.487	10.382
7.486	10.382
7.381	10.382
7.315	10.382
7.603	10.381
7.612	10.373
7.601	10.373
7.445	10.364
7.649	10.36
7.604	10.36
7.594	10.36
7.499	10.36
7.489	10.36
7.489	10.36
7.489	10.36
7.487	10.357
7.373	10.357
7.708	10.355
7.532	10.355
7.532	10.355
7.487	10.355
7.483	10.355
7.332	10.347
7.708	10.343
6.992	10.34
7.771	10.338
7.753	10.338
7.708	10.338
7.697	10.338
7.547	10.338
7.581	10.331
7.539	10.329
7.427	10.329
7.42	10.329
7.378	10.329
7.378	10.329
7.371	10.329
7.315	10.329
7.638	10.327
7.02	10.321
6.783	10.316
7.382	10.304
7.876	10.302
6.739	10.302
7.506	10.301
7.411	10.295
7.802	10.293
7.536	10.292
6.991	10.291
7.448	10.287
6.984	10.287
7.431	10.286
7.483	10.285
7.666	10.284
7.659	10.284
7.599	10.284
7.594	10.284
7.536	10.284
7.476	10.284
7.371	10.284
6.57	10.28
7.277	10.278
6.331	10.272
6.034	10.272
6.032	10.272
7.373	10.262
7.638	10.254
7.582	10.254
7.477	10.254
6.869	10.251
6.904	10.249
7.652	10.247
6.262	10.241
7.458	10.237
7.392	10.233
7.389	10.233
7.371	10.233
7.322	10.233
7.581	10.231
7.539	10.231
7.42	10.231
7.382	10.231
7.382	10.231
7.382	10.231
7.382	10.231
7.378	10.231
7.378	10.231
7.378	10.231
7.371	10.231
7.371	10.231
7.371	10.231
7.371	10.231
7.333	10.231
7.326	10.231
7.315	10.231
7.312	10.231
7.494	10.23
7.326	10.23
7.315	10.23
6.915	10.227
7.487	10.224
7.059	10.222
7.715	10.219
7.708	10.219
7.708	10.219
7.536	10.219
7.536	10.219
7.547	10.218
7.536	10.218
7.47	10.215
5.555	10.211
7.019	10.195
6.59	10.195
7.514	10.193
7.507	10.193
7.355	10.193
7.175	10.192
5.868	10.192
6.688	10.188
5.794	10.167
6.719	10.154
7.409	10.139
6.502	10.124
6.734	10.118
7.47	10.117
7.425	10.117
7.329	10.117
5.895	10.111
7.636	10.107
6.66	10.104
7.243	10.1
7.306	10.087
7.454	10.086
6.714	10.086
7.528	10.076
7.187	10.074
6.162	10.072
7.057	10.065
6.943	10.061
6.1	10.058
6.125	10.043
7.465	10.037
7.458	10.035
5.964	10.028
6.144	10.027
7.061	10.022
5.33	10.019
5.954	10.016
5.499	10.013
7.12	10.009
5.026	10
6.227	9.976
7.324	9.972
7.058	9.967
6.819	9.965
6.577	9.963
6.117	9.945
6.786	9.944
7.037	9.934
6.102	9.934
6.088	9.934
8.436	9.929
6.775	9.925
7.029	9.916
7.322	9.914
7.249	9.906
6.645	9.86
5.99	9.859
5.648	9.84
6.672	9.832
7.593	9.814
6.231	9.795
6.712	9.787
7.489	9.752
6.89	9.747
6.263	9.744
7.173	9.724
5.693	9.707
6.759	9.701
6.108	9.701
6.455	9.698
4.978	9.695
6.635	9.687
6.079	9.676
7.166	9.67
5.942	9.66
5.45	9.652
7.651	9.651
4.838	9.651
6.474	9.649
5.695	9.636
5.019	9.632
5.92	9.631
6.416	9.627
6.989	9.617
6.656	9.616
6.253	9.61
7.648	9.596
7.807	9.595
6.27	9.594
6.331	9.591
5.648	9.577
6.776	9.57
5.359	9.551
6.291	9.541
5.92	9.533
5.42	9.474
6.585	9.473
6.369	9.472
5.611	9.472
5.168	9.468
6.066	9.463
7.085	9.453
7.312	9.451
6.073	9.413
4.269	9.413
6.248	9.4
7.151	9.391
5.165	9.375
5.132	9.372
4.683	9.371
5.52	9.366
5.144	9.358
5.301	9.325
5.653	9.302
5.647	9.297
5.134	9.292
6.071	9.271
4.9	9.245
5.941	9.231
5.641	9.224
5.578	9.216
5.423	9.216
8.278	9.206
7.089	9.202
6.733	9.188
4.697	9.175
6.082	9.166
5.159	9.166
5.485	9.162
5.895	9.159
5.486	9.157
5.486	9.157
5.823	9.151
6.089	9.126
5.292	9.125
6.954	9.107
5.874	9.107
5.902	9.096
5.902	9.096
4.848	9.088
6.504	9.085
6.067	9.081
6.264	9.068
4.761	9.055
5.911	9.053
6.413	9.047
6.427	9.026
6.416	9.01
5.365	9.003
4.812	8.994
5.128	8.973
4.717	8.97
6.023	8.963
5.468	8.962
4.93	8.957
5.319	8.951
5.02	8.951
4.678	8.951
5.612	8.948
5.747	8.932
5.898	8.922
4.848	8.919
4.554	8.901
5.52	8.897
4.88	8.891
5.591	8.89
6.059	8.889
4.61	8.883
6.321	8.878
4.974	8.871
5.287	8.862
4.753	8.862
4.894	8.857
4.819	8.855
4.974	8.853
5.55	8.847
5.122	8.838
4.882	8.806
4.869	8.799
5.306	8.797
4.575	8.795
5.913	8.791
4.785	8.778
4.785	8.764
4.774	8.764
4.753	8.764
4.753	8.76
4.766	8.756
4.51	8.755
4.66	8.749
6.262	8.706
4.871	8.69
4.707	8.685
4.682	8.684
6.322	8.679
4.599	8.663
5.235	8.625
5.906	8.619
5.817	8.616
6.169	8.614
6.185	8.603
4.686	8.588
6.157	8.575
7.502	8.523
6.205	8.497
4.435	8.478
5.156	8.476
5.239	8.462
4.678	8.46
4.586	8.46
6.227	8.459
6.241	8.459
4.576	8.451
4.822	8.45
5.702	8.442
4.764	8.442
4.584	8.442
5.916	8.441
5.035	8.429
4.764	8.428
6.151	8.425
4.575	8.424
5.823	8.411
2.958	8.409
4.766	8.406
5.939	8.393
6.128	8.366
5.856	8.366
6.202	8.364
5.777	8.363
5.038	8.357
6.05	8.332
4.056	8.318
5.773	8.312
5.004	8.298
3.912	8.289
4.822	8.28
5.885	8.254
3.996	8.251
4.101	8.239
5.039	8.234
4.526	8.23
4.076	8.225
4.162	8.225
4.958	8.224
4.723	8.22
5.975	8.214
3.148	8.213
5.828	8.209
3.893	8.194
6.301	8.189
5.99	8.177
6.144	8.158
4.88	8.153
5.282	8.146
4.997	8.123
3.841	8.122
5.973	8.119
3.891	8.118
4.707	8.116
5.818	8.112
4.226	8.107
3.893	8.096
3.519	8.089
3.519	8.089
4.482	8.057
4.886	8.054
3.744	8.044
6.739	8.019
3.552	7.954
3.996	7.951
3.911	7.942
3.469	7.917
3.958	7.912
4.936	7.897
4.82	7.891
2.787	7.879
5.588	7.852
3.736	7.85
3.901	7.839
3.903	7.828
5.301	7.809
5.632	7.802
4.656	7.793
3.702	7.792
4.738	7.783
5.879	7.779
4.597	7.777
3.329	7.764
5.32	7.76
4.231	7.758
3.776	7.756
5.539	7.748
4.844	7.731
2.499	7.721
4.294	7.674
3.303	7.668
3.592	7.665
4.718	7.658
5.539	7.657
5.565	7.65
3.9	7.618
3.418	7.613
5.5	7.594
3.024	7.572
4.168	7.557
3.412	7.553
2.921	7.537
2.921	7.537
3.908	7.492
5.009	7.453
3.519	7.424
3.297	7.404
4.975	7.401
4.672	7.3
3.057	7.276
1.979	7.272
3.117	7.231
2.394	7.182
2.394	7.182
2.499	7.176
3.452	7.168
3.14	7.159
2.912	7.114
3.798	7.094
3.278	7.09
2.626	7.069
3.52	7.062
2.783	7.027
2.783	7.027
3.394	7.002
4.178	6.993
3.186	6.982
2.081	6.968
4.022	6.965
4.022	6.965
2.812	6.963
1.884	6.86
4.187	6.848
3.031	6.843
3.098	6.843
2.191	6.826
2.487	6.809
4.385	6.805
2.514	6.787
4.318	6.76
2.646	6.752
4.641	6.734
4.584	6.706
1.515	6.652
3.698	6.649
1.298	6.591
1.638	6.575
2.212	6.56
2.676	6.533
2.507	6.423
4.298	6.35
1.618	6.331
1.788	6.312
1.788	6.312
3.3	6.304
2.47	6.256
1.045	6.235
2.907	6.21
1.81	6.195
1.81	6.195
3.785	6.076
1.051	6.044
1.051	6.044
1.245	6.025
0.431	5.975
1.874	5.902
1.874	5.902
1.874	5.902
1.221	5.844
2.111	5.837
1.437	5.805
3.814	5.795
0.914	5.744
1.355	5.737
3.277	5.728
0.218	5.689
1.123	5.669
1.368	5.647
2.276	5.635
1.058	5.606
1.058	5.606
2.66	5.585
2.868	5.51
1.726	5.501
3.443	5.481
1.683	5.354
1.219	5.276
0.541	5.252
0.646	5.228
1.743	5.218
1.047	5.215
1.814	5.168
1.814	5.168
1.268	5.073
0.592	5.019
3.076	4.974
1.135	4.969
2.069	4.887
2.069	4.887
0.549	4.723
0.123	4.714
1.119	4.687
1.273	4.631
-0.409	4.541
1.188	4.491
0.212	4.434
0.601	4.423
0.067	4.406
-0.163	4.392
1.062	4.31
2.036	4.298
-0.023	4.272
-0.023	4.272
-0.023	4.272
-0.023	4.272
-0.023	4.272
-0.023	4.272
-0.023	4.272
-0.566	4.224
0.189	4.177
1.702	4.177
1.028	4.161
0.89	4.065
0.248	4.062
0.945	4.061
2.447	4.046
0.45	4.044
0.857	3.995
1.73	3.967
-0.454	3.943
-0.253	3.858
0.711	3.849
-0.689	3.847
-0.689	3.847
0.283	3.717
1.056	3.611
1.056	3.611
2.092	3.609
-0.636	3.498
-0.236	3.471
-0.207	3.47
-0.207	3.47
-0.209	3.457
0.587	3.386
0.377	3.349
-0.222	3.312
-0.309	3.28
1.393	3.218
-0.071	3.213
0.191	3.17
1.157	3.166
-1.703	3.151
-0.417	3.103
-0.483	3.099
-0.541	3.095
0.772	3.066
0.772	3.066
0.695	3.012
1.144	3.01
-1.411	2.967
0.347	2.856
-0.951	2.811
-0.357	2.802
-0.771	2.766
-0.328	2.764
2.57	2.755
-0.153	2.732
-1.746	2.684
0.169	2.619
0.205	2.591
-0.079	2.582
2.021	2.558
1.239	2.558
-2.208	2.551
0.35	2.529
-2.649	2.495
-0.188	2.446
-0.874	2.442
0.697	2.425
-0.848	2.387
-0.196	2.351
0.585	2.348
1.17	2.276
0.35	2.27
0.285	2.201
-0.321	2.185
0.378	2.182
-1.024	2.145
-1.215	2.122
-0.066	2.074
-0.82	2.074
-0.787	2.052
-0.925	2.037
-2.295	2.036
-0.069	2.022
0.297	2.022
-1.68	2.006
-0.302	1.989
-0.665	1.955
-0.549	1.942
-0.642	1.923
-0.779	1.898
-0.575	1.892
-1.489	1.828
0.688	1.818
-0.997	1.803
0.737	1.79
-1.46	1.781
0.414	1.721
-0.275	1.69
-2.227	1.665
-0.765	1.612
0.1	1.605
0.676	1.594
-0.266	1.578
-0.985	1.473
-0.897	1.45
-1.602	1.411
-1.504	1.379
-2.289	1.309
-1.102	1.303
-0.198	1.282
-0.819	1.272
-0.534	1.243
-0.325	1.241
-0.479	1.223
-0.891	1.196
0.177	1.192
-0.021	1.15
0.199	1.145
0.095	1.119
-0.88	1.104
0.171	1.094
-1.759	1.091
-1.091	1.09
0.305	1.085
-0.547	1.063
0.04	1.041
-0.246	1.036
-0.867	0.989
0.225	0.969
-0.112	0.931
-1.317	0.92
0.128	0.85
-2.584	0.849
0.495	0.82
-0.125	0.817
-2.116	0.814
0.261	0.812
-1.719	0.812
-0.036	0.804
0.991	0.757
-0.463	0.736
-1.815	0.717
0.804	0.703
0.284	0.66
-0.247	0.652
