SS	SS_random
-2.227	-1.176625375
-2.208	-1.162155844
-1.46	-0.771081918
-1.215	-0.638794206
-0.985	-0.545704296
-0.409	-0.183210789
-0.275	-0.14301998
-0.026	-0.018918082
0.171	0.084564436
0.205	0.112183816
0.284	0.156965035
0.431	0.176348651
0.824	0.452374625
1.328	0.683316683
1.743	0.96108991
2.397	1.287302697
2.447	1.323127872
2.499	1.359532468
2.787	1.456748252
3.394	1.841762238
3.744	1.974324675
3.911	2.079765235
3.186	2.135756244
4.473	2.317875125
4.269	2.343724276
4.51	2.372473527
4.697	2.456113886
4.683	2.477893107
3.939	2.535427572
4.656	2.539130869
4.231	2.721108891
5.026	2.772344655
5.359	2.778635365
5.33	2.830655345
5.499	2.918290709
5.45	2.940302697
4.822	2.969127872
5.856	3.03351049
5.752	3.067198801
6.08	3.187422577
6.144	3.244503497
6.085	3.257390609
5.693	3.374609391
6.577	3.511140859
6.677	3.527395604
6.808	3.607695305
5.942	3.683817183
6.253	3.741459541
6.231	3.750301698
7.42	3.997052947
7.085	4.217679321
7.281	4.286495505
7.502	4.512786214
8.278	4.86043956
8.6	4.989882118
8.683	5.057423576
9.468	5.36994006
9.315	5.407954046
9.348	5.465511489
9.668	5.544777223
9.595	5.554925075
9.713	5.562087912
9.855	5.616948052
9.755	5.662748252
9.654	5.665401598
9.918	5.690161838

