ID 	Public/private	SS	SS_pos 	SS_2014_pos	SS_2014_up	biome	feature	material	env_package	location	latitude	longitude	depth
4440036.3	Public	0.377	3.044	3.934	3.349	marine habitat	marine habitat	marine habitat	water	Kingman Atoll	6.3856	-162.334722	~10
4440037.3	Public	1.028	4.478	5.149	4.161	marine habitat	marine habitat	marine habitat	water	Kingman Atoll	6.3856	-162.334722	~10
4440038.3	Public	0.218	5.22	7.523	5.689	marine habitat	marine habitat	marine habitat	water	Christmas (Kiritimati) Atoll	1.99231667	-157.4840667	~10
4440039.3	Public	1.119	5.353	5.943	4.687	marine habitat	marine habitat	marine habitat	water	Palmyra Atoll	5.866944	-162.1278	~10
4440041.3	Public	0.592	4.158	5.683	5.019	marine habitat	marine habitat	marine habitat	water	Christmas (Kiritimati) Atoll	1.99231667	157.4840667	~10
4440060.4	Public	1.047	5.058	6.015	5.215	marine habitat	marine habitat	marine habitat	water	Rio Mesquites	26.9125	-102.115	0
4440061.3	Public	-0.246	0.595	1.169	1.036	marine habitat	marine habitat	marine habitat	water	Highborne Cay Island	24.7257	-76.8188	0
4440067.3	Public	2.514	7.871	8.664	6.787	marine habitat	marine habitat	marine habitat	water	Pozas Azules II	26.872	-102.0773	0
4440090.3	Public	0.549	5.046	6.408	4.723	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440102.3	Public	0.095	0.716	1.217	1.119	marine habitat	marine habitat	marine habitat	water	Tampa Bay, CA	37.6299	-122.0757	0
4440144.4	Public	-0.261	0.35	0.538	-0.046	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440145.4	Public	-1.091	1.343	1.866	1.09	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440279.3	Public	-1.317	0.83	1.66	0.92	marine habitat	marine habitat	marine habitat	water	Fanning (Tabuaeran) Atoll	3.82595	-159.3495667	~10
4440280.3	Public	-0.642	0.929	1.875	1.923	marine habitat	marine habitat	marine habitat	water	Fanning (Tabuaeran) Atoll	3.82595	-159.3495667	~10
4440281.3	Public	5.823	11.274	11.916	9.151	mine drainage	mine drainage	mine drainage	sediment	Soudan Underground Mine, on the south shore of Lake Vermilion, MN	47.819307	-92.242595	714
4440282.3	Public	-0.222	3.392	4.618	3.312	mine drainage	mine drainage	mine drainage	sediment	Soudan Underground Mine, on the south shore of Lake Vermilion, MN	47.819307	-92.242595	714
4440304.3	Public	-0.023	4.656	5.867	4.272	marine habitat	marine habitat	marine habitat	water	Gulf of Mexico	0	0	western GOM = surface to 164, Eastern GOM =3 to 90, Northeastern GOM = 1 to 120,  Texas Coast = 1 to 120
4440305.3	Public	-0.207	3.932	4.722	3.47	marine habitat	marine habitat	marine habitat	water	Strait of Georgia and adjacent inlets, Barclay Sound	0	0	surface to 245
4440306.3	Public	1.874	7.423	7.659	5.902	marine habitat	marine habitat	marine habitat	water	the Arctic Ocean, the Strait of Georgia,	0	0	2 to 968
4440319.3	Public	-0.771	2.328	3.411	2.766	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Bocas del Toro	9.331	-82.249	0
4440320.3	Public	0.1	1.157	1.534	1.605	marine habitat	marine habitat	marine habitat	microbial mat|biofilm	Pozas Azules II	26.872	-102.0773	0
4440321.3	Public	-0.026	0.253	1.083	0.628	marine habitat	marine habitat	marine habitat	microbial mat|biofilm	Rio Mesquites	26.9125	-102.115	0
4440322.3	Public	1.056	3.188	4.113	3.611	marine habitat	marine habitat	marine habitat	water	Sargasso Sea, Hydrostation S	32.1667	-64.5	80
