Taxa	Feature	Category	SS
Dehalococcoides mccartyi CBDB1		Biorremediation 	5.877
Dehalococcoides mccartyi 195		Biorremediation 	5.851
Dehalococcoides mccartyi VS		Biorremediation 	5.744
Anaeromyxobacter dehalogenans 2CP-C		Biorremediation 	5.633
Geobacter daltonii FRC-32		Biorremediation 	5.51
Geobacter uraniireducens Rf4		Biorremediation 	5.334
Dehalobacter sp. DCA	metagenomic data	Biorremediation 	4.757
Campylobacter concisus		Campylobacter	6.57
Campylobacter concisus 13826		Campylobacter	6.317
Campylobacter curvus 525.92		Campylobacter	6.219
Campylobacter ureolyticus RIGS 9880		Campylobacter	6.047
Campylobacter volucris LMG 24379		Campylobacter	5.864
Campylobacter iguaniorum		Campylobacter	5.848
Campylobacter hyointestinalis subsp. lawsonii		Campylobacter	5.713
Campylobacter coli CVM N29710		Campylobacter	5.635
Campylobacter gracilis		Campylobacter	5.543
Campylobacter subantarcticus LMG 24374		Campylobacter	5.47
Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260		Campylobacter	5.237
Campylobacter peloridis LMG 23910		Campylobacter	4.87
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819		Campylobacter	4.82
Campylobacter insulaenigrae NCTC 12927		Campylobacter	4.77
Campylobacter lari RM2100		Campylobacter	4.63
Campylobacter lari subsp. concheus LMG 11760		Campylobacter	4.626
Campylobacter sp. RM16704		Campylobacter	4.626
Campylobacter fetus subsp. fetus 82-40		Campylobacter	4.589
Campylobacter fetus subsp. testudinum 03-427	pathogen	Campylobacter	4.541
Campylobacter lari NCTC 11845		Campylobacter	4.267
Geobacter pickeringii		Fe-environment	5.375
Geoalkalibacter subterraneus		Fe-environment	5.191
Marinovum algicola DG 898		Marine	4.992
Candidatus Atelocyanobacterium thalassa isolate ALOHA		Marine	4.959
Thermincola potens JR		Other (biorreactor, fuel cell, host-associated)	9.011
Moorella thermoacetica ATCC 39073		Other (biorreactor, fuel cell, host-associated)	8.447
Methanocella arvoryzae MRE50		Other (biorreactor, fuel cell, host-associated)	7.645
