ID 	Specie 	SS	Kigdom 	Phylum 	Class 	Order 	Family 	Genus 	Guild	Category
GCF_000005825.2	Bacillus pseudofirmus OF4	2.366	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	NS
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655	2.345	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Escherichia	NS	NS
GCF_000006605.1	Corynebacterium jeikeium K411	-2.895	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	NS
GCF_000006625.1	Ureaplasma parvum serovar 3 str. ATCC 700970	-0.861	 Bacteria	 Tenericutes	 Mollicutes	 Mycoplasmataceae	 Ureaplasma	0	NS	NS
GCF_000006645.1	Yersinia pestis KIM10+	0.387	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Yersinia	NS	NS
GCF_000006685.1	Chlamydia muridarum str. Nigg	-0.538	 Bacteria	 Chlamydiae	 Chlamydiales	 Chlamydiaceae	 Chlamydia/Chlamydophila group	 Chlamydia	NS	NS
GCF_000006725.1	Xylella fastidiosa 9a5c	-0.511	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xylella	NS	NS
GCF_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961	0.48	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Vibrio	NS	NS
GCF_000006765.1	Pseudomonas aeruginosa PAO1	1.081	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	NS
GCF_000006785.2	Streptococcus pyogenes M1 GAS	-1.778	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	NS
GCF_000006805.1	Halobacterium salinarum NRC-1	1.932	 Archaea	 Euryarchaeota	 Halobacteria	 Halobacteriales	 Halobacteriaceae	 Halobacterium	NS	NS
GCF_000006825.1	Pasteurella multocida subsp. multocida str. Pm70	2.884	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Pasteurella	NS	NS
GCF_000006845.1	Neisseria gonorrhoeae FA 1090	0.429	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Neisseriales	 Neisseriaceae	 Neisseria	NS	NS
GCF_000006865.1	Lactococcus lactis subsp. lactis Il1403	-0.076	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Lactococcus	NS	NS
GCF_000006885.1	Streptococcus pneumoniae TIGR4	-1.266	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	NS
