	sulfur	carbon	oxygen	iron	nitrogen
Ammonifex degensii KC4	12.508	13.529	1.607	4.551	8.258
Archaeoglobus profundus DSM 5631	12.024	24.841	1.493	0.765	6.624
Candidatus Desulforudis audaxviator MP104C	11.972	17.49	4.775	1.514	10.211
Pelodictyon phaeoclathratiforme BU-1	11.836	11.635	5.589	6.521	12.176
Chlorobium phaeobacteroides BS1	11.649	9.598	5.534	7.536	12.314
Chlorobium chlorochromatii CaD3	11.625	7.581	5.486	7.463	12.549
Thiobacillus denitrificans ATCC 25259	11.61	5.818	4.735	3.943	14.54
Desulfohalobium retbaense DSM 5692	11.511	9.2	2.806	5.031	9.189
Desulfovibrio alaskensis G20	11.5	6.783	4.036	5.625	8.664
Desulfovibrio vulgaris DP4	11.442	8.863	5.904	6.955	11.811
Chlorobium tepidum TLS	11.354	9.223	4.713	3.619	12.064
endosymbiont of unidentified scaly snail isolate Monju	11.205	6.503	3.047	8.025	14.549
Desulfovibrio vulgaris str. 'Miyazaki F'	11.093	9.066	6.296	6.021	12.683
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	11.034	6.388	1.734	4.951	9.53
Desulfovibrio fairfieldensis	10.955	8.842	1.665	6.536	9.025
Desulfobacca acetoxidans DSM 11109	10.947	14.514	3.171	4.033	10.98
Desulfovibrio salexigens DSM 2638	10.923	9.636	4.856	3.817	11.401
Archaeoglobus veneficus SNP6	10.89	30.221	2.749	3.636	9.456
Thermodesulfatator indicus DSM 15286	10.851	20.491	4.616	5.467	11.147
Thioalkalivibrio nitratireducens DSM 14787	10.846	5.38	2.918	8.445	16.429
Thermodesulfovibrio yellowstonii DSM 11347	10.793	13.867	3.484	6.546	11.6
Thermodesulfobacterium geofontis OPF15	10.772	12.808	2.249	4.388	9.146
Desulfotomaculum nigrificans CO-1-SRB	10.745	12.271	4.631	4.693	11.257
Allochromatium vinosum DSM 180	10.737	11.776	5.766	7.995	14.886
Sulfuricella denitrificans skB26	10.699	7.959	3.766	8.116	14.472
Thiocystis violascens DSM 198	10.633	10.861	5.071	9.152	15.358
Desulfurivibrio alkaliphilus AHT 2	10.574	13.809	4.115	4.697	13.348
Desulfobacula toluolica Tol2	10.574	14.577	1.638	5.64	11.406
Thermodesulfobacterium commune DSM 2178	10.538	13.403	2.145	5.54	10.083
Desulfomicrobium baculatum DSM 4028	10.495	12.572	5.946	7.816	13.583
Desulfovibrio africanus str. Walvis Bay	10.479	14.59	5.514	5.771	13.782
Syntrophobacter fumaroxidans MPOB	10.342	14.912	4.241	7.125	13.196
Thioploca ingrica	10.327	14.242	5.419	7.447	17.095
Desulfovibrio magneticus RS-1	10.322	10.297	4.561	5.569	12.95
Thioalkalivibrio paradoxus ARh 1	10.256	4.424	3.429	7.8	16.085
Archaeoglobus fulgidus DSM 4304	10.229	34.26	3.175	4.699	9.915
Desulfocapsa sulfexigens DSM 10523	10.202	16.394	4.222	6.284	13.213
Desulfotomaculum ruminis DSM 2154	10.187	13.637	4.355	3.011	11.986
Hydrogenobacter thermophilus TK-6	10.157	8.405	7.028	4.764	14.919
Desulfotalea psychrophila LSv54	10.151	9.521	1.084	5.152	10.937
Vulcanisaeta distributa DSM 14429	10.112	5.456	1.63	2.632	9.403
Sedimenticola thiotaurini	10.109	20.34	5.472	8.942	15.953
Thioalkalivibrio sulfidiphilus HL-EbGr7	10.069	6.337	4.021	7.065	14.473
Thermodesulfobium narugense DSM 14796	10.012	10.45	4.557	0.755	11.425
Desulfovibrio aespoeensis Aspo-2	9.971	12.359	4.095	4.421	10.596
Candidatus Thioglobus autotrophicus	9.92	4.608	3.181	6.875	13.177
Thermoproteus tenax Kra 1	9.906	5.917	0.83	1.603	9.22
Thioflavicoccus mobilis 8321	9.756	11.621	4.971	8.522	15.875
Persephonella marina EX-H1	9.754	8.892	3.525	7.906	13.584
Desulfotomaculum acetoxidans DSM 771	9.615	16.996	3.714	1.239	11.094
Desulfarculus baarsii DSM 2075	9.607	16.951	3.715	7.232	11.283
Magnetospira sp. QH-2	9.594	6.016	4.843	8.414	15.497
Archaeoglobus sulfaticallidus PM70-1	9.569	34.407	3.585	1.931	10.554
Desulfotomaculum gibsoniae DSM 7213	9.528	18.395	3.323	4.629	12.568
Desulfovibrio desulfuricans ND132	9.487	11.625	5.398	7.439	13.597
Desulfobulbus propionicus DSM 2032	9.442	10.441	4.1	6.219	13.212
Hydrogenobaculum sp. Y04AAS1	9.319	7.04	2.467	4.131	11.301
Desulfobacterium autotrophicum HRM2	9.317	16.468	4.782	6.936	13.513
Desulfatibacillum alkenivorans AK-01	9.284	17.559	2.929	5.318	11.252
Hyperthermus butylicus DSM 5456	9.23	4.359	0.263	1.459	6.014
Chlorobium limicola DSM 245	9.23	11.343	5.235	6.379	12.818
Desulfosporosinus orientis DSM 765	9.128	23.476	3.348	5.739	13.594
Desulfosporosinus meridiei DSM 13257	9.06	21.847	4.72	6.807	14.246
Thermincola potens JR	9.011	20.521	4.571	4.083	11.976
Chlorobium phaeobacteroides DSM 266	8.974	11.46	4.797	5.711	12.276
Candidatus Vesicomyosocius okutanii HA	8.94	3.704	3.69	7.398	13.431
Desulfosporosinus acidiphilus SJ4	8.91	17.759	4.49	6.923	14.499
Carboxydothermus hydrogenoformans Z-2901	8.907	14.03	1.417	4.477	10.567
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	8.87	3.632	3.862	5.294	13.148
Pyrolobus fumarii 1A	8.862	6.47	1.721	3.541	7.554
Methanocaldococcus vulcanius M7	8.847	77.125	5.084	0.512	7.97
Desulfurobacterium thermolithotrophum DSM 11699	8.783	11.908	2.022	4.757	9.719
Desulfotomaculum reducens MI-1	8.706	7.931	3.771	3.586	11.501
Thermoproteus uzoniensis 768-20	8.705	4.464	0.863	2.492	8.415
Palaeococcus pacificus DY20341	8.543	7.745	-0.458	0.473	6.689
Ferroglobus placidus DSM 10642	8.541	31.41	2.727	5.88	11.13
Nitratiruptor sp. SB155-2	8.51	7.374	4.17	5.877	12.363
Thiolapillus brandeum	8.479	4.889	3.228	8.415	14.606
Moorella thermoacetica ATCC 39073	8.447	18.06	5.514	0.755	11.163
Sulfuritalea hydrogenivorans sk43H	8.436	7.563	3.206	8.078	15.124
Sideroxydans lithotrophicus ES-1	8.373	7.432	5.036	9.083	15.634
Prosthecochloris aestuarii DSM 271	8.362	12.144	4.792	6.006	11.958
Thermococcus onnurineus NA1	8.308	10.996	-0.502	0.209	6.329
Ignicoccus hospitalis KIN4/I	8.288	7.169	0.625	3.418	6.65
Chlorobaculum parvum NCIB 8327	8.288	7.279	6.007	6.895	12.562
Thermococcus cleftensis	8.282	10.447	-0.351	0.151	6.291
Pyrococcus yayanosii CH1	8.24	11.385	-0.22	0.367	5.925
Desulfomonile tiedjei DSM 6799	8.238	19.675	5.591	7.948	15.388
Thermococcus sp. 4557	8.198	11.384	-0.423	0.151	6.715
Sulfuricurvum kujiense DSM 16994	8.168	6.346	5.326	6.811	14.977
Aciduliprofundum boonei T469	8.156	5.241	-0.103	0.431	5.84
Pyrobaculum islandicum DSM 4184	8.15	7.353	0.806	0.251	7.638
Thermococcus peptonophilus	8.117	8.5	-0.458	0.132	6.093
Chlorobium phaeovibrioides DSM 265	8.116	7.985	5.098	6.006	11.872
Geoglobus acetivorans	8.114	31.701	3.145	5.571	11.166
Methanocaldococcus infernus ME	8.11	74.966	4.981	0.712	7.911
Thermocrinis albus DSM 14484	8.087	7.359	7.237	4.764	14.67
Pyrococcus furiosus DSM 3638	8.037	10.35	1.281	0.297	7.367
Desulfococcus oleovorans Hxd3	8.007	12.769	1.104	7.09	9.04
Sulfurimonas denitrificans DSM 1251	7.988	6.134	3.527	7.088	12.792
Methanocaldococcus bathoardescens	7.957	76.666	4.981	0.347	8.153
Geoglobus ahangari	7.947	32.31	2.129	5.091	9.656
Sulfurihydrogenibium azorense Az-Fu1	7.907	7.015	2.488	7.898	11.082
Pyrodictium delaneyi	7.902	5.982	0.604	3.434	7.994
Thermovibrio ammonificans HB-1	7.886	9.267	2.099	4.757	9.865
Thermococcus paralvinellae	7.835	9.735	-0.227	0.609	6.648
Chlorobium luteolum DSM 273	7.742	9.74	5.098	7.09	11.881
Thermococcus barophilus MP	7.741	6.666	-0.255	0.545	6.182
Acidithiobacillus ferrooxidans ATCC 53993	7.655	7.77	6.371	4.951	15.57
Sulfurimonas autotrophica DSM 16294	7.651	6.194	3.45	6.867	12.374
Methanocella arvoryzae MRE50	7.645	74.788	4.253	1.275	11.265
Aquifex aeolicus VF5	7.631	6.233	4.741	7.031	12.721
Pyrococcus sp. ST04	7.609	8.07	1.432	0.074	7.275
Vulcanisaeta moutnovskia 768-28	7.544	4.512	0.643	0.967	9.61
Pyrococcus sp. NA2	7.527	7.881	0.237	0.103	6.425
Sulfurovum sp. NBC37-1	7.437	6.46	3.382	8.172	14.129
Acidithiobacillus ferrivorans SS3	7.436	7.584	6.542	4.979	15.143
Nitratifractor salsuginis DSM 16511	7.414	5.082	3.45	7.088	12.941
Thioalkalivibrio sp. K90mix	7.406	5.163	4.065	4.311	15.111
Methanocella conradii HZ254	7.297	67.424	3.409	0.881	8.593
Sulfurospirillum deleyianum DSM 6946	7.136	6.639	1.763	7.331	11.242
Thermofilum sp. 1807-2	7.131	8.028	0.3	0.749	6.249
Methanocaldococcus sp. FS406-22	7.119	76.721	5.084	0.289	7.894
Thermofilum pendens Hrk 5	7.115	8.605	-0.305	0.749	6.315
Staphylothermus marinus F1	7.111	5.676	0.164	0.06	4.473
Methanosaeta harundinacea 6Ac	7.104	75.396	4.648	0.794	9.503
Sulfurihydrogenibium sp. YO3AOP1	7.035	4.586	3.517	6.883	13.339
Thermocrinis ruber	7.002	5.828	3.951	7.246	13.314
Sulfurimonas gotlandica GD1	6.995	5.701	2.77	8.172	14.145
Staphylothermus hellenicus DSM 12710	6.94	8.023	-0.449	-0.163	4.887
