Genomes	Score
GCF_001007875.1_ASM100787v1	15.539
GCF_000227745.2_ASM22774v3	15.296
GCF_000012745.1_ASM1274v1	15.194
GCF_000227685.2_ASM22768v3	14.893
GCF_000321415.2_ASM32141v2	14.893
GCF_000801295.1_ASM80129v1	14.851
GCF_000828835.1_ASM82883v1	14.728
GCF_000020645.1_ASM2064v1	14.666
GCF_000968135.1_ASM96813v1	14.591
GCF_000012585.1_ASM1258v1	14.51
GCF_000025485.1_ASM2548v1	14.453
GCF_000327045.1_ASM32704v1	14.39
GCF_000021985.1_ASM2198v1	14.372
GCF_000020545.1_ASM2054v1	14.283
GCF_000006985.1_ASM698v1	14.253
GCF_000014965.1_ASM1496v1	14.236
GCF_000341395.1_ASM34139v1	14.163
GCF_000828635.1_ASM82863v1	14.05
GCF_000297055.2_ASM29705v2	14.007
GCF_000023225.1_ASM2322v1	13.983
GCF_000023445.1_ASM2344v1	13.897
GCF_000010665.1_ASM1066v1	13.887
GCF_000194625.1_ASM19462v1	13.887
GCF_000025285.1_ASM2528v1	13.87
GCF_000217795.1_ASM21779v1	13.866
GCF_000092205.1_ASM9220v1	13.841
GCF_000008665.1_ASM866v1	13.839
GCF_000015485.1_ASM1548v1	13.839
GCF_000020985.1_ASM2098v1	13.839
GCF_000021385.1_ASM2138v1	13.839
GCF_000021905.1_ASM2190v1	13.839
GCF_000307105.1_ASM30710v1	13.839
GCF_001553605.1_ASM155360v1	13.839
GCF_000012665.1_ASM1266v1	13.834
GCF_000024325.1_ASM2432v1	13.816
GCF_000235605.1_ASM23560v1	13.812
GCF_000231385.2_ASM23138v3	13.807
GCF_000020365.1_ASM2036v1	13.699
GCF_000186885.1_ASM18688v1	13.699
GCF_000195295.1_ASM19529v1	13.683
GCF_000022125.1_ASM2212v1	13.661
GCF_000255115.2_ASM25511v3	13.661
GCF_000143965.1_ASM14396v1	13.652
GCF_000233715.2_ASM23371v3	13.642
GCF_000215085.1_ASM21508v1	13.634
GCF_000018425.1_ASM1842v1	13.613
GCF_000024605.1_ASM2460v1	13.613
GCF_000212675.2_ASM21267v2	13.486
GCF_000024205.1_ASM2420v1	13.473
GCF_000214435.1_ASM21443v1	13.473
GCF_000828615.1_ASM82861v1	13.384
GCF_000025705.1_ASM2570v1	13.193
GCF_000189295.2_ASM18929v2	13.155
GCF_000266945.1_ASM26694v1	13.145
GCF_000176915.2_ASM17691v2	13.097
GCF_000025945.1_ASM2594v1	13.066
GCF_000010785.1_ASM1078v1	12.954
GCF_000215975.1_ASM21597v1	12.94
GCF_000734015.1_ASM73401v1	12.94
GCF_000012865.1_ASM1286v1	12.623
GCF_001293165.1_ASM129316v1	12.493
GCF_000385565.1_ASM38556v1	12.459
GCF_000148385.1_ASM14838v1	12.431
GCF_000016165.1_ASM1616v1	12.336
GCF_000212395.1_ASM21239v1	12.228
GCF_000021565.1_ASM2156v1	12.059
GCF_000025505.1_ASM2550v1	11.928
GCF_000253055.1_ASM25305v1	11.81
GCF_000015125.1_ASM1512v1	11.715
GCF_000020465.1_ASM2046v1	11.715
GCF_000214095.2_ASM21409v3	11.646
GCF_000010325.1_ASM1032v1	11.614
GCF_000092945.1_ASM9294v1	11.583
GCF_000018405.1_ASM1840v1	11.557
GCF_000017505.1_ASM1750v1	11.531
GCF_000281175.1_ASM28117v1	11.457
GCF_000513295.1_MGMSRv2	11.425
GCF_000015105.1_ASM1510v1	11.328
GCF_000020805.1_ASM2080v1	11.323
GCF_000010405.1_ASM1040v1	11.306
GCF_000009985.1_ASM998v1	11.275
GCF_000193375.1_ASM19337v1	11.248
GCF_000020505.1_ASM2050v1	11.244
GCF_001006045.1_ASM100604v1	11.207
GCF_000020825.1_ASM2082v1	11.204
GCF_000981545.1_Y1	11.174
GCF_000191045.1_ASM19104v1	11.157
GCF_000014865.1_ASM1486v1	11.076
GCF_000020785.1_ASM2078v1	11.056
GCF_000025545.1_ASM2554v1	10.925
GCF_000092245.1_ASM9224v1	10.858
GCF_000183725.1_ASM18372v1	10.847
GCF_000020625.1_ASM2062v1	10.827
GCF_000789255.1_ASM78925v1	10.771
GCF_000063445.1_ASM6344v1	10.687
GCF_000067165.1_ASM6716v1	10.654
GCF_000016665.1_ASM1666v1	10.572
GCF_000017805.1_ASM1780v1	10.572
GCF_001046955.1_ASM104695v1	10.562
GCF_000025605.1_ASM2560v1	10.555
GCF_001548075.1_ASM154807v1	10.535
GCF_000016085.1_ASM1608v1	10.533
GCF_000012485.1_ASM1248v1	10.53
GCF_000012965.1_ASM1296v1	10.528
GCF_000242915.1_ASM24291v2	10.528
GCF_000013105.1_ASM1310v1	10.472
GCF_000024625.1_ASM2462v1	10.414
GCF_000018865.1_ASM1886v1	10.413
GCF_000021945.1_ASM2194v1	10.411
GCF_000008625.1_ASM862v1	10.393
GCF_001632845.1_ASM163284v1	10.387
GCF_000224005.2_ASM22400v3	10.342
GCF_000185805.1_ASM18580v1	10.314
GCF_000166075.1_ASM16607v1	10.292
GCF_000013385.1_ASM1338v1	10.236
GCF_000015205.1_ASM1520v1	10.229
GCF_000016405.1_ASM1640v1	10.193
GCF_000021545.1_ASM2154v1	10.179
GCF_000251105.1_ASM25110v1	10.171
GCF_000010345.1_ASM1034v1	10.164
GCF_000015145.1_ASM1514v1	10.161
GCF_000190315.1_ASM19031v1	10.131
GCF_000020525.1_ASM2052v1	10.128
GCF_000018345.1_ASM1834v1	10.123
GCF_000092125.1_ASM9212v1	10.118
GCF_000186245.1_ASM18624v1	10.111
GCF_000024865.1_ASM2486v1	10.09
GCF_001412615.1_ASM141261v1	10.081
