Accesion 	Length 
O33997	620
O33996	160
Q9LA72	371
P26474	347
P26475	272
P0A1Y2	337
Q1QWN5	333
Q58820	344
A3SN10	188
A3SN11	165
G0WXL9	204
Q5LL69	339
P16676	365
P0A6J1	201
P21156	302
P17854	244
P56891	265
P17846	570
P38038	599
P23845	475
O34734	354
P16700	338
P22255	246
P16701	277
P0AEB0	291
A6W2K8	837
A3SC37	223
A3SK19	446
Q5LT18	201
Q8GPG4	910
Q8GPG3	325
Q8GPG1	265
Q5LS57	364
Q5LRT0	539
Q5LLW7	588
Q5LLW6	267
E9JFX9	480
E0XCR3	176
P97224	168
P97207	184
O32428	96
O32429	333
O32430	89
O32431	511
O32432	120
O32433	353
O33998	417
Q59109	418
O33999	356
Q59110	366
O87899	112
O87896	130
O87897	136
O87898	102
O87901	524
O87900	243
Q9F2A2	268
Q9F2A1	416
P45574	437
P45575	381
Q06530	431
Q08742	149
Q0K2K1	483
P0A6V5	108
E7FI44	428
Q8U2E4	292
E7FHU4	261
Q1R183	253
Q9X404	414
Q9X405	181
P70752	123
Q9X406	366
Q48924	367
P37600	758
P0A1I1	192
P37602	254
P23857	104
P31075	763
P31076	191
P31077	317
A3SR26	328
D5AP85	58
D5AP84	49
Q3J170	260
Q3J1A5	282
Q3J1A6	308
D5AP83	74
D5AP88	78
C4XI70	413
C4XI71	763
C4XI72	399
P52197	271
Q2BN77	456
Q54506	437
Q0K845	493
Q0K844	509
P0AG78	329
Q7UA49	381
E7FHC4	412
E7FHN9	334
E7FHW8	288
E7FHF8	237
Q9LZ66	642
P72854	635
Q1QWN6	309
A3SN06	378
Q65YW9	363
P29082	309
Q9LA16	405
P72177	564
Q1W3E6	594
O07819	384
D3RVS9	224
Q9LCV0	157
Q9LCU9	140
Q9LCU8	109
Q3J501	294
F7UM40	383
Q3J3B0	271
Q8NKK1	1018
Q8NKT6	227
Q8NKT5	464
Q52722	427
Q4W5U9	434
Q8KG51	485
Q9KI51	436
P31142	281
P75851	263
P75853	319
P0AAI1	255
O85764	382
P80645	381
P80644	191
Q58Y43	393
Q47537	320
Q47538	255
Q47539	275
P37610	283
B7J3C9	499
D3UB67	445
Q9APM5	456
D3RVD4	270
Q9Z4S6	1020
Q7CQM9	250
Q9Z4S7	340
Q93PS3	584
A3SR25	603

