GenomeID	Sp	Guild	MEBS_SS	Comp_mean	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24-26	P27	P28	P29
GCF_000020645.1	Pelodictyon phaeoclathratiforme BU-1	GSB	11.836	63	66.7	60	100	70.6	75	55	77.8	0	60	45	48.3	0	33.3	100	50	37.5	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	100
GCF_000012585.1	Chlorobium chlorochromatii CaD3	GSB	11.625	63.3	66.7	60	0	64.7	75	55	66.7	100	80	50	48.3	0	33.3	100	50	37.5	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	100
GCF_000012745.1	Thiobacillus denitrificans ATCC 25259	CLSB	11.61	68.3	88.9	60	100	76.5	75	60	77.8	0	80	45	55.2	0	66.7	100	57.1	43.8	50	42.9	85.7	71.4	0	71.4	72.7	100	100	100	100
GCF_000006985.1	Chlorobium tepidum TLS	GSB	11.354	60.3	77.8	60	0	64.7	75	55	66.7	0	60	45	51.7	0	33.3	100	50	37.5	50	42.9	85.7	71.4	0	57.1	63.6	100	100	100	100
GCF_000227745.2	Thiocystis violascens DSM 198	PSB	10.633	70.6	66.7	60	0	76.5	75	60	77.8	100	80	65	62.1	0	66.7	100	57.1	43.8	75	85.7	85.7	71.4	0	57.1	81.8	100	100	100	100
GCF_001007875.1	Sedimenticola thiotaurini	Sur	10.109	77.1	77.8	60	100	76.5	75	60	77.8	100	100	60	55.2	0	100	100	50	56.2	91.7	100	85.7	71.4	0	57.1	81.8	100	100	100	100
GCF_000020545.1	Chlorobium phaeobacteroides BS1	GSB	11.649	62.2	66.7	30	0	76.5	75	60	77.8	100	60	45	51.7	0	33.3	100	50	37.5	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	91.7
GCF_000801295.1	endosymbiont of unidentified scaly snail isolate Monju	Sur	11.205	69.8	88.9	60	100	76.5	75	60	77.8	100	80	50	51.7	0	33.3	100	57.1	43.8	50	42.9	85.7	71.4	0	57.1	72.7	100	100	100	91.7
GCF_000321415.2	Thioalkalivibrio nitratireducens DSM 14787	CLSB	10.846	74.2	88.9	60	100	76.5	70	60	77.8	100	80	50	58.6	0	33.3	100	50	43.8	66.7	71.4	71.4	71.4	100	57.1	72.7	100	100	100	91.7
GCF_000025485.1	Allochromatium vinosum DSM 180	PSB	10.737	69.9	77.8	60	100	76.5	70	60	77.8	100	80	60	65.5	0	33.3	100	57.1	37.5	50	42.9	85.7	71.4	0	57.1	72.7	100	100	100	91.7
GCF_000297055.2	Sulfuricella denitrificans skB26	Sur	10.699	68.5	66.7	70	100	64.7	75	50	77.8	100	60	55	51.7	0	66.7	100	50	50	50	42.9	71.4	71.4	0	57.1	63.6	100	100	100	91.7
GCF_000828835.1	Thioploca ingrica	CLSB	10.327	67.3	88.9	60	100	64.7	75	50	77.8	0	60	55	58.6	0	33.3	100	57.1	37.5	75	85.7	85.7	71.4	0	42.9	81.8	100	100	100	91.7
GCF_000227685.2	Thioalkalivibrio paradoxus ARh 1	CLSB	10.256	75.5	77.8	60	100	76.5	70	60	77.8	100	80	50	55.2	0	33.3	100	57.1	43.8	75	85.7	85.7	71.4	100	57.1	81.8	100	100	100	91.7
GCF_000021985.1	Thioalkalivibrio sulfidiphilus HL-EbGr7	CLSB	10.069	71.2	88.9	70	100	76.5	70	60	77.8	0	100	60	58.6	0	100	100	57.1	50	50	42.9	85.7	71.4	0	71.4	81.8	100	100	100	91.7
GCF_000327045.1	Thioflavicoccus mobilis 8321	PSB	9.756	73.6	88.9	30	100	76.5	75	60	77.8	100	80	60	69	0	66.7	100	57.1	43.8	75	85.7	85.7	71.4	0	57.1	81.8	100	100	100	91.7
GCF_000968135.1	Magnetospira sp. QH-2	Sur	9.594	75	77.8	60	100	76.5	70	50	77.8	100	100	55	51.7	0	100	100	57.1	56.2	83.3	85.7	85.7	71.4	0	42.9	81.8	100	100	100	91.7
GCF_000828615.1	Thiolapillus brandeum	SOM	8.479	74.8	77.8	60	100	70.6	75	50	77.8	100	100	50	55.2	0	66.7	100	57.1	75	75	85.7	85.7	71.4	0	71.4	72.7	100	100	100	91.7
GCF_000828635.1	Sulfuritalea hydrogenivorans sk43H	Sur	8.436	77.4	77.8	70	100	64.7	75	50	77.8	100	100	55	55.2	0	100	100	57.1	62.5	91.7	100	85.7	71.4	0	85.7	72.7	100	100	100	91.7
GCF_000020985.1	Thermodesulfovibrio yellowstonii DSM 11347	SRB	10.793	62	77.8	20	0	76.5	75	60	77.8	0	80	55	41.4	0	66.7	100	57.1	43.8	50	71.4	85.7	57.1	0	57.1	63.6	100	100	100	83.3
GCF_000092205.1	Desulfurivibrio alkaliphilus AHT 2	SRB	10.574	63.2	77.8	30	0	76.5	75	60	77.8	100	80	50	44.8	0	33.3	100	42.9	43.8	50	71.4	71.4	57.1	0	42.9	63.6	100	100	100	83.3
GCF_000307105.1	Desulfobacula toluolica Tol2	SRB	10.574	62.3	66.7	10	0	76.5	75	60	77.8	0	80	55	44.8	0	66.7	100	50	43.8	91.7	100	71.4	57.1	0	42.9	54.5	100	100	100	83.3
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028	Sur	10.495	73.1	66.7	40	50	76.5	75	60	77.8	100	80	50	44.8	100	66.7	100	57.1	50	41.7	28.6	85.7	57.1	100	57.1	72.7	100	100	100	83.3
GCF_000341395.1	Desulfocapsa sulfexigens DSM 10523	SRB	10.202	65.4	77.8	40	0	76.5	75	60	77.8	100	80	60	44.8	0	33.3	100	50	43.8	50	71.4	85.7	57.1	0	57.1	72.7	100	100	100	83.3
