	real	30	60	100	150	200	250	300
PF00005	0.004	0.009	0.007	0.006	0.006	0.005	0.005	0.004
PF00009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PF00034	0.010	-0.046	0.003	0.012	0.017	0.025	0.009	0.038
PF00037	0.103	0.125	0.106	0.098	0.098	0.100	0.102	0.101
PF00106	0.050	-0.005	0.059	0.070	0.060	0.057	0.057	0.051
PF00111	0.063	0.064	0.107	0.093	0.087	0.092	0.065	0.060
PF00124	0.192	0.192	0.192	0.192	0.190	0.192	0.192	0.192
PF00171	-0.010	0.026	-0.021	-0.014	-0.003	-0.006	-0.005	-0.009
PF00174	0.114	0.061	0.071	0.114	0.113	0.113	0.113	0.114
PF00175	-0.018	-0.041	0.029	0.011	0.003	-0.008	-0.014	-0.015
PF00202	0.148	0.160	0.152	0.150	0.150	0.149	0.147	0.147
PF00205	0.060	0.111	0.057	0.061	0.062	0.062	0.058	0.058
PF00258	0.018	-0.062	-0.095	-0.051	0.007	-0.001	0.004	0.017
PF00291	0.101	0.116	0.111	0.104	0.102	0.101	0.099	0.100
PF00296	-0.266	-0.219	-0.263	-0.266	-0.266	-0.266	-0.266	-0.266
PF00355	0.048	0.118	0.059	0.064	0.058	0.047	0.060	0.053
PF00374	0.708	0.646	0.675	0.696	0.706	0.706	0.706	0.706
PF00378	-0.050	-0.063	-0.064	-0.036	-0.014	-0.022	-0.046	-0.044
PF00384	0.334	0.347	0.374	0.357	0.348	0.340	0.338	0.334
PF00389	0.087	0.145	0.065	0.075	0.074	0.080	0.087	0.087
PF00441	-0.137	-0.110	-0.171	-0.155	-0.129	-0.143	-0.133	-0.138
PF00459	0.112	0.048	0.099	0.112	0.112	0.112	0.112	0.112
PF00484	-0.070	-0.107	-0.104	-0.076	-0.065	-0.069	-0.070	-0.070
PF00501	0.048	0.080	0.051	0.036	0.048	0.048	0.048	0.048
PF00528	0.064	0.004	0.071	0.065	0.064	0.064	0.064	0.065
PF00534	0.094	0.191	0.109	0.098	0.093	0.095	0.093	0.093
PF00556	0.168	0.158	0.180	0.168	0.168	0.168	0.168	0.168
PF00557	0.012	0.067	0.016	0.015	0.014	0.012	0.012	0.012
PF00581	-0.056	-0.043	-0.064	-0.059	-0.065	-0.073	-0.072	-0.067
PF00667	-0.146	-0.072	-0.122	-0.137	-0.143	-0.147	-0.149	-0.148
PF00848	-0.117	-0.096	-0.122	-0.113	-0.109	-0.118	-0.118	-0.117
PF00890	0.010	0.084	0.058	0.036	0.035	0.034	0.019	0.014
PF00970	-0.049	-0.036	-0.051	-0.031	-0.040	-0.032	-0.046	-0.038
PF01011	-0.066	-0.059	-0.082	-0.077	-0.077	-0.083	-0.066	-0.073
PF01058	0.425	0.446	0.428	0.425	0.425	0.425	0.425	0.425
PF01070	0.079	-0.061	0.082	0.069	0.075	0.074	0.077	0.077
PF01077	0.148	0.217	0.147	0.154	0.149	0.148	0.140	0.147
PF01087	-0.082	-0.080	-0.088	-0.087	-0.083	-0.083	-0.083	-0.082
PF01208	-0.114	-0.124	-0.085	-0.094	-0.097	-0.103	-0.105	-0.114
PF01292	0.268	0.045	0.199	0.260	0.271	0.265	0.267	0.264
PF01370	0.065	0.089	0.082	0.072	0.073	0.063	0.064	0.066
PF01384	-0.077	-0.090	-0.058	-0.069	-0.073	-0.072	-0.076	-0.076
PF01507	0.096	-0.054	0.103	0.073	0.101	0.091	0.091	0.096
PF01515	-0.288	-0.289	-0.302	-0.303	-0.287	-0.286	-0.289	-0.289
PF01547	0.144	-0.093	0.122	0.156	0.154	0.137	0.140	0.141
PF01553	-0.194	0.021	-0.192	-0.194	-0.194	-0.194	-0.194	-0.194
PF01568	0.481	0.246	0.402	0.477	0.420	0.513	0.454	0.467
PF01571	0.080	0.088	0.097	0.088	0.082	0.080	0.080	0.079
PF01583	0.052	0.208	0.199	0.220	0.188	0.192	0.183	0.165
PF01613	0.044	-0.036	0.079	0.042	0.044	0.044	0.044	0.044
PF01747	0.988	1.020	1.019	0.988	0.997	0.991	0.986	0.986
PF02167	-0.041	-0.016	-0.023	-0.005	-0.056	-0.053	-0.046	-0.045
PF02332	-0.011	-0.014	-0.015	-0.011	-0.011	-0.014	-0.014	-0.012
PF02406	-0.014	-0.018	-0.014	-0.015	-0.014	-0.014	-0.014	-0.014
PF02515	-0.076	-0.096	-0.074	-0.075	-0.075	-0.076	-0.076	-0.076
PF02615	-0.107	-0.103	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
PF02635	0.347	0.318	0.368	0.411	0.368	0.360	0.354	0.365
PF02662	0.514	0.452	0.517	0.514	0.502	0.497	0.500	0.511
PF02665	0.477	-0.060	0.381	0.462	0.478	0.502	0.475	0.461
PF02668	-0.134	-0.061	-0.130	-0.133	-0.135	-0.135	-0.134	-0.134
PF02770	-0.166	-0.163	-0.137	-0.153	-0.154	-0.159	-0.165	-0.166
PF02771	-0.144	-0.112	-0.133	-0.148	-0.142	-0.142	-0.142	-0.144
PF02775	0.041	0.162	0.143	0.069	0.041	0.036	0.035	0.036
PF02776	0.138	0.089	0.037	0.056	0.108	0.127	0.148	0.156
PF02826	0.099	0.091	0.079	0.102	0.102	0.099	0.102	0.102
PF02872	-0.155	-0.115	-0.171	-0.142	-0.157	-0.153	-0.158	-0.158
PF02910	0.169	0.160	0.191	0.166	0.139	0.147	0.190	0.169
PF03144	0.000	0.044	-0.006	0.000	0.000	0.000	0.000	0.000
PF03358	-0.065	-0.158	-0.082	-0.088	-0.081	-0.065	-0.065	-0.065
PF03404	-0.053	0.000	-0.045	-0.034	-0.054	-0.056	-0.050	-0.047
