	real	30	60	100	150	200	250	300
PF10417	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12574	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09847	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00244	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16998	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00389	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02826	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00198	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16078	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04029	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16620	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05635	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08521	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08793	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF11591	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01257	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08975	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03390	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03171	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13532	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13640	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13661	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13759	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10014	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13239	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13563	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03475	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06983	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06052	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12578	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00803	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01073	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06725	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02829	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10605	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00725	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02737	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16121	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16122	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04419	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03061	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13279	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13622	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12729	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04476	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05902	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01812	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06189	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09038	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03491	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07694	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01367	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02739	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05761	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02872	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02096	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01591	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00393	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02495	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02294	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07698	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07696	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07695	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07697	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00001	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00002	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00003	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13853	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02949	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08395	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02117	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10292	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02175	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10316	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10317	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10318	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10327	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10319	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10320	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10321	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10322	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10323	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10324	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10328	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10325	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10326	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14402	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF17028	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07388	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07966	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08792	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00207	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07678	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01835	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07703	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07677	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00004	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09820	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12846	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13086	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
