#                                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                     accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                             ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HWI-ST185:476:D28N0ACXX:7:2315:5880:14801_1_93_-  -          2-Hacid_dh           PF00389.28   7.1e-09   41.2   0.2   7.3e-09   41.2   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:12998:86347_1_93_+ -          2-Hacid_dh           PF00389.28   7.6e-09   41.1   0.0     8e-09   41.1   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:15422:21276_1_93_- -          2-Hacid_dh           PF00389.28   2.3e-08   39.6   0.6   2.4e-08   39.5   0.6   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:1718:16260_1_93_-  -          2-Hacid_dh           PF00389.28   5.9e-08   38.2   0.1     6e-08   38.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:6748:51431_1_93_-  -          2-Hacid_dh           PF00389.28   7.6e-08   37.9   0.3   7.9e-08   37.8   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:3788:8620_1_93_+   -          2-Hacid_dh           PF00389.28   9.5e-08   37.6   0.3   9.5e-08   37.6   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:19327:8398_1_93_-  -          2-Hacid_dh           PF00389.28   2.1e-07   36.5   0.4   2.1e-07   36.5   0.4   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:14788:12701_1_93_+ -          2-Hacid_dh           PF00389.28   2.3e-07   36.3   0.1   2.3e-07   36.3   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:5415:63373_1_93_-  -          2-Hacid_dh           PF00389.28   2.4e-07   36.3   0.1   2.4e-07   36.3   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:16629:55842_1_93_+ -          2-Hacid_dh           PF00389.28   2.6e-07   36.2   0.6   2.6e-07   36.1   0.6   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:2837:62383_1_93_-  -          2-Hacid_dh           PF00389.28   3.4e-07   35.8   0.0   3.8e-07   35.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:9886:3300_1_93_-   -          2-Hacid_dh           PF00389.28   5.4e-07   35.1   0.2   5.6e-07   35.1   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:19326:70841_1_93_+ -          2-Hacid_dh           PF00389.28   6.9e-07   34.8   0.0   7.2e-07   34.7   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:11338:29258_1_93_+ -          2-Hacid_dh           PF00389.28   7.4e-07   34.7   0.3   8.1e-07   34.6   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:7705:29585_1_93_+  -          2-Hacid_dh           PF00389.28   8.5e-07   34.5   0.5   8.6e-07   34.5   0.5   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:4484:91306_1_93_+  -          2-Hacid_dh           PF00389.28     1e-06   34.3   0.1     1e-06   34.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:18994:85341_1_93_- -          2-Hacid_dh           PF00389.28     1e-06   34.3   0.1     1e-06   34.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:2393:29282_1_90_+  -          2-Hacid_dh           PF00389.28   1.9e-06   33.4   0.2   1.9e-06   33.4   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:14417:90128_1_93_- -          2-Hacid_dh           PF00389.28     2e-06   33.3   0.1   2.1e-06   33.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:15527:38017_1_93_- -          2-Hacid_dh           PF00389.28   2.8e-06   32.8   0.3   2.8e-06   32.8   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:9574:67573_1_93_-  -          2-Hacid_dh           PF00389.28     3e-06   32.7   0.1   3.1e-06   32.7   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:21036:44245_1_93_- -          2-Hacid_dh           PF00389.28   3.2e-06   32.6   0.1   3.3e-06   32.6   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:17518:66303_1_93_- -          2-Hacid_dh           PF00389.28   4.7e-06   32.1   0.1   4.7e-06   32.1   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:7653:39859_1_93_+  -          2-Hacid_dh           PF00389.28   4.8e-06   32.1   0.1   4.9e-06   32.0   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:15447:83328_1_93_- -          2-Hacid_dh           PF00389.28   6.1e-06   31.7   0.0   6.3e-06   31.7   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:1684:57622_1_93_-  -          2-Hacid_dh           PF00389.28   6.9e-06   31.5   0.2     7e-06   31.5   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:13171:78018_1_93_+ -          2-Hacid_dh           PF00389.28   8.1e-06   31.3   0.4   8.3e-06   31.3   0.4   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:11819:92706_1_93_+ -          2-Hacid_dh           PF00389.28   1.3e-05   30.7   0.1   1.3e-05   30.6   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:12510:90025_1_93_+ -          2-Hacid_dh           PF00389.28   1.4e-05   30.5   0.5   1.4e-05   30.5   0.5   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:16457:70728_1_93_- -          2-Hacid_dh           PF00389.28   1.5e-05   30.4   0.0   1.7e-05   30.3   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:5436:53119_1_93_-  -          2-Hacid_dh           PF00389.28     2e-05   30.0   0.1     2e-05   30.0   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:6101:92190_1_93_+  -          2-Hacid_dh           PF00389.28   2.2e-05   29.9   0.1   2.2e-05   29.9   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:5649:14735_1_93_+  -          2-Hacid_dh           PF00389.28   2.5e-05   29.7   0.3   2.5e-05   29.7   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:12206:73503_1_93_+ -          2-Hacid_dh           PF00389.28   4.5e-05   28.9   0.1   4.6e-05   28.9   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:9900:83897_1_93_-  -          2-Hacid_dh           PF00389.28   4.7e-05   28.8   0.1   5.3e-05   28.7   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:6575:58857_1_93_+  -          2-Hacid_dh           PF00389.28   5.3e-05   28.7   0.5   5.8e-05   28.6   0.5   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:14284:64198_1_93_- -          2-Hacid_dh           PF00389.28   6.1e-05   28.5   0.1   6.2e-05   28.5   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:6774:66054_1_93_-  -          2-Hacid_dh           PF00389.28   6.4e-05   28.4   0.1   6.5e-05   28.4   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:4699:9425_1_93_+   -          2-Hacid_dh           PF00389.28   7.7e-05   28.2   0.1   7.9e-05   28.1   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:12108:57667_1_93_+ -          2-Hacid_dh           PF00389.28     8e-05   28.1   1.1   8.3e-05   28.1   1.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:12038:18767_1_93_+ -          2-Hacid_dh           PF00389.28   8.1e-05   28.1   0.1   8.3e-05   28.1   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:16892:30447_1_93_- -          2-Hacid_dh           PF00389.28   8.5e-05   28.0   0.4   8.7e-05   28.0   0.4   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:14329:71812_1_93_+ -          2-Hacid_dh           PF00389.28   8.5e-05   28.0   0.2   8.7e-05   28.0   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:3460:24784_1_93_+  -          2-Hacid_dh           PF00389.28   0.00013   27.5   0.0   0.00013   27.5   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:12551:68204_1_93_+ -          2-Hacid_dh           PF00389.28   0.00019   26.9   0.0   0.00021   26.8   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:8468:37083_1_93_-  -          2-Hacid_dh           PF00389.28   0.00025   26.5   0.0   0.00025   26.5   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:14564:72712_1_93_+ -          2-Hacid_dh           PF00389.28   0.00026   26.5   0.1   0.00026   26.5   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:2926:2316_1_93_-   -          2-Hacid_dh           PF00389.28    0.0003   26.2   0.1   0.00031   26.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:17094:36669_1_84_- -          2-Hacid_dh           PF00389.28   0.00037   25.9   0.3   0.00037   25.9   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:19221:92495_1_93_+ -          2-Hacid_dh           PF00389.28   0.00075   25.0   0.0   0.00076   24.9   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:13945:81519_1_93_- -          2-Hacid_dh           PF00389.28   0.00076   24.9   0.0   0.00076   24.9   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:7468:91858_1_93_+  -          2-Hacid_dh           PF00389.28   0.00081   24.9   0.1   0.00084   24.8   0.1   1.0   1   0   0   1   1   1   1 -
