
	sulfur	carbon	oxygen	iron	nitrogen	<sulfur comp>	sulfur_1	sulfur_2	sulfur_3	sulfur_4	sulfur_5	sulfur_6	sulfur_7	sulfur_8	sulfur_9	sulfur_10	sulfur_11	sulfur_12	sulfur_13	sulfur_14	sulfur_15	sulfur_16	sulfur_17	sulfur_18	sulfur_19	sulfur_20	sulfur_21	sulfur_22	sulfur_23	sulfur_24	sulfur_25	sulfur_26	sulfur_27	sulfur_28	sulfur_29	<carbon comp>	carbon_1	carbon_2	carbon_3	carbon_4	carbon_5	carbon_6	carbon_7	carbon_8	carbon_9	carbon_10	carbon_12	carbon_13
4442467.3.faa	3.098	8.511	7.088	8.758	17.550	78.7	66.7	60.0	100.0	64.7	55.0	45.0	77.8	100.0	100.0	65.0	44.8	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	58.3	45.6	62.5	50.0	100.0	9.1	75.0	50.0	64.3	0.0	14.3	84.6	37.5	0.0
4443749.3.faa	3.520	10.772	8.047	3.474	14.217	55.4	66.7	50.0	0.0	52.9	45.0	35.0	55.6	0.0	80.0	60.0	37.9	0.0	66.7	100.0	50.0	37.5	50.0	42.9	71.4	42.9	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	33.3	39.1	75.0	25.0	100.0	9.1	25.0	50.0	64.3	0.0	14.3	69.2	37.5	0.0
4441137.3.faa	5.159	9.276	7.634	4.824	17.251	76.8	77.8	40.0	100.0	64.7	55.0	50.0	66.7	100.0	80.0	65.0	41.4	100.0	66.7	100.0	64.3	43.8	83.3	85.7	85.7	57.1	100.0	85.7	63.6	100.0	100.0	100.0	100.0	100.0	50.0	45.0	62.5	50.0	100.0	0.0	25.0	50.0	64.3	66.7	14.3	69.2	37.5	0.0
4442466.3.faa	5.359	13.446	7.593	7.638	18.965	80.5	88.9	60.0	100.0	64.7	65.0	45.0	77.8	100.0	100.0	70.0	51.7	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	66.7	52.1	75.0	50.0	100.0	18.2	75.0	50.0	71.4	33.3	14.3	100.0	37.5	0.0
4445129.3.faa	5.672	16.691	7.727	8.394	18.842	81.2	88.9	80.0	100.0	64.7	65.0	50.0	77.8	100.0	100.0	70.0	62.1	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	66.7	47.4	87.5	50.0	100.0	9.1	50.0	50.0	78.6	0.0	14.3	92.3	37.5	0.0
4443750.3.faa	2.660	3.959	7.052	3.709	10.587	44.7	44.4	30.0	0.0	41.2	40.0	20.0	44.4	0.0	80.0	40.0	20.7	0.0	66.7	0.0	42.9	31.2	33.3	14.3	71.4	42.9	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	25.0	23.9	25.0	16.7	50.0	0.0	25.0	50.0	50.0	0.0	14.3	30.8	25.0	0.0
4491734.3.faa	8.683	38.674*	7.540	8.674	19.086*	85.0	88.9	80.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	70.0	65.5	100.0	100.0	100.0	71.4	87.5	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	91.7	65.0	87.5	58.3	100.0	36.4	50.0	50.0	92.9	100.0	42.9	100.0	37.5	25.0
4441347.3.faa	4.822	14.043	7.462	2.749	15.454	74.2	66.7	30.0	100.0	58.8	55.0	45.0	55.6	100.0	100.0	70.0	41.4	100.0	100.0	100.0	64.3	50.0	91.7	100.0	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0	41.8	75.0	25.0	100.0	18.2	25.0	50.0	64.3	33.3	28.6	69.2	12.5	0.0
4440067.3.faa	2.514	15.546	7.409	5.817	15.775	72.1	77.8	50.0	100.0	47.1	45.0	45.0	55.6	100.0	80.0	60.0	44.8	100.0	100.0	100.0	71.4	50.0	75.0	71.4	85.7	28.6	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	75.0	42.5	62.5	41.7	100.0	0.0	50.0	50.0	71.4	33.3	14.3	61.5	25.0	0.0
4487625.3.faa	4.760	12.707	5.715	9.282	17.467	79.6	88.9	60.0	100.0	64.7	60.0	50.0	66.7	100.0	100.0	65.0	62.1	100.0	100.0	100.0	71.4	43.8	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	48.1	87.5	50.0	100.0	18.2	50.0	50.0	64.3	33.3	14.3	84.6	25.0	0.0
4445126.3.faa	8.261	21.365	7.686	8.010	18.871	82.8	88.9	60.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	65.0	69.0	100.0	100.0	100.0	71.4	68.8	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	83.3	50.9	87.5	58.3	100.0	9.1	50.0	50.0	85.7	33.3	14.3	84.6	37.5	0.0
4441138.3.faa	7.173	15.988	7.046	6.455	17.833	79.3	88.9	50.0	100.0	76.5	65.0	60.0	77.8	100.0	100.0	55.0	51.7	100.0	100.0	100.0	71.4	75.0	83.3	85.7	85.7	71.4	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	66.7	50.5	87.5	50.0	100.0	9.1	50.0	50.0	71.4	66.7	14.3	69.2	37.5	0.0
