	No such family
PF00005	ABC transporter
PF00009	Elongation factor Tu GTP binding domain
PF00034	Cytochrome c
PF00037	4Fe-4S binding domain
PF00106	short chain dehydrogenase
PF00111	2Fe-2S iron-sulfur cluster binding domain
PF00124	Photosynthetic reaction centre protein
PF00171	Aldehyde dehydrogenase family
PF00174	Oxidoreductase molybdopterin binding domain
PF00175	Oxidoreductase NAD-binding domain 
PF00202	Aminotransferase class-III
PF00205	Thiamine pyrophosphate enzyme, central domain
PF00258	Flavodoxin
PF00291	Pyridoxal-phosphate dependent enzyme
PF00296	Luciferase-like monooxygenase
PF00355	Rieske [2Fe-2S] domain
PF00374	Nickel-dependent hydrogenase
PF00378	Enoyl-CoA hydratase/isomerase
PF00384	Molybdopterin oxidoreductase
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00441	Acyl-CoA dehydrogenase, C-terminal domain
PF00459	Inositol monophosphatase family
PF00484	Carbonic anhydrase
PF00501	AMP-binding enzyme
PF00528	Binding-protein-dependent transport system inner membrane component
PF00534	Glycosyl transferases group 1
PF00556	Antenna complex alpha/beta subunit
PF00557	Metallopeptidase family M24
PF00581	Rhodanese-like domain
PF00667	FAD binding domain
PF00848	Ring hydroxylating alpha subunit (catalytic domain)
PF00890	FAD binding domain
PF00970	Oxidoreductase FAD-binding domain
PF01011	PQQ enzyme repeat
PF01058	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF01070	FMN-dependent dehydrogenase
PF01077	Nitrite and sulphite reductase 4Fe-4S domain
PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01208	Uroporphyrinogen decarboxylase (URO-D)
PF01292	Prokaryotic cytochrome b561
PF01370	NAD dependent epimerase/dehydratase family
PF01384	Phosphate transporter family
PF01507	Phosphoadenosine phosphosulfate reductase family
PF01515	Phosphate acetyl/butaryl transferase
PF01553	Acyltransferase
PF01568	Molydopterin dinucleotide binding domain
PF01571	Aminomethyltransferase folate-binding domain
PF01583	Adenylylsulphate kinase
PF01613	Flavin reductase like domain
PF01747	ATP-sulfurylase
PF02332	Methane/Phenol/Toluene Hydroxylase
PF02406	MmoB/DmpM family 
PF02515	CoA-transferase family III
PF02615	Malate/L-lactate dehydrogenase
PF02635	DsrE/DsrF-like family
PF02662	Methyl-viologen-reducing hydrogenase, delta subunit
PF02665	Nitrate reductase gamma subunit
PF02668	Taurine catabolism dioxygenase TauD, TfdA family
PF02770	Acyl-CoA dehydrogenase, middle domain
PF02771	Acyl-CoA dehydrogenase, N-terminal domain
PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF02872	5'-nucleotidase, C-terminal domain
PF02910	Fumarate reductase flavoprotein C-term
PF03358	NADPH-dependent FMN reductase
PF03404	Mo-co oxidoreductase dimerisation domain
PF03460	Nitrite/Sulfite reductase ferredoxin-like half domain
PF03916	Polysulphide reductase, NrfD
PF03967	Photosynthetic reaction centre, H-chain N-terminal region
PF04069	Substrate binding domain of ABC-type glycine betaine transport system
PF04077	DsrH like protein
PF04173	TQO small subunit DoxD
PF04295	D-galactarate dehydratase / Altronate hydrolase, C terminus
PF04358	DsrC like protein
PF04663	Phenol hydroxylase conserved region
PF04879	Molybdopterin oxidoreductase Fe4S4 domain
PF04945	YHS domain
PF05239	PRC-barrel domain
PF05398	PufQ cytochrome subunit
PF06099	Phenol hydroxylase subunit
PF07680	TQO small subunit DoxA
PF07682	Sulphur oxygenase reductase
PF07992	Pyridine nucleotide-disulphide oxidoreductase
PF08669	Glycine cleavage T-protein C-terminal barrel domain
PF08770	Sulphur oxidation protein SoxZ
PF09084	NMT1/THI5 like
PF09242	Flavocytochrome c sulphide dehydrogenase, flavin-binding
PF09459	Ethylbenzene dehydrogenase
PF10418	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B
PF10518	TAT (twin-arginine translocation) pathway signal sequence
PF11511	Intrinsic membrane protein PufX
PF12139	Adenosine-5'-phosphosulfate reductase beta subunit
PF12800	4Fe-4S binding domain
PF12806	Acetyl-CoA dehydrogenase C-terminal like
PF12831	FAD dependent oxidoreductase
PF12838	4Fe-4S dicluster domain
PF12857	TOBE-like domain
PF13183	4Fe-4S dicluster domain
PF13187	4Fe-4S dicluster domain
PF13193	AMP-binding enzyme C-terminal domain
PF13247	4Fe-4S dicluster domain
PF13360	PQQ-like domain
PF13439	Glycosyltransferase Family 4
PF13442	Cytochrome C oxidase, cbb3-type, subunit III 
PF13501	Sulfur oxidation protein SoxY
PF13531	Bacterial extracellular solute-binding protein
PF13577	SnoaL-like domain
PF14306	PUA-like domain
PF14697	4Fe-4S dicluster domain
PF16867	Dimethlysulfonioproprionate lyase
PF17179	4Fe-4S dicluster domain
