Accesion 	SS	SS_pos	SS_2014
GCF_000020065.1	-0.736	0.035	0.097
GCF_000085865.1	-0.369	0.035	0.097
GCF_000008245.1	-0.795	0.052	0.135
GCF_000006625.1	-0.861	0.052	0.135
GCF_000021265.1	-0.861	0.052	0.135
GCF_000238995.1	-0.176	0.06	0.166
GCF_000186985.1	-0.176	0.06	0.166
GCF_000027325.1	-0.69	0.076	0.243
GCF_000477415.1	-0.159	0.077	0.204
GCF_000179035.2	-0.159	0.077	0.204
GCF_000277795.1	-0.159	0.077	0.204
GCF_000145705.1	-1.133	0.085	0.138
GCF_000287295.1	-0.048	0.108	0.33
GCF_000328725.1	-0.517	0.207	0.362
GCF_000063605.1	-0.968	0.25	0.533
GCF_000183385.1	-0.968	0.25	0.533
GCF_000026205.1	-0.322	0.251	0.27
GCF_000012765.1	-0.772	0.253	0.561
GCF_000025845.1	-0.778	0.258	0.436
GCF_000439455.1	-0.743	0.282	0.603
GCF_000439435.1	-0.738	0.287	0.523
GCF_000008365.1	-0.633	0.292	0.385
GCF_000011445.1	-0.7	0.325	0.635
GCF_000500935.1	-0.696	0.359	1.185
GCF_000400955.1	-0.616	0.409	0.799
GCF_000019685.1	-0.785	0.432	0.627
GCF_000012085.1	-0.755	0.432	0.596
GCF_000445425.4	-0.768	0.449	0.522
GCF_000222835.1	-0.76	0.459	0.629
GCF_000009845.1	0.029	0.488	0.551
GCF_000304455.1	-0.561	0.494	0.868
GCF_000225325.1	-1.218	0.568	1.076
GCF_000006685.1	-0.538	0.702	1.258
GCF_000007485.1	-0.902	0.716	1.506
GCF_000008065.1	-1.351	0.727	1.279
GCF_000011985.1	-1.834	0.801	1.332
GCF_000214785.1	-1.01	0.801	1.303
GCF_000007605.1	-0.418	0.822	1.278
GCF_000224985.1	-0.548	0.872	1.434
GCF_000008885.1	-0.72	0.885	1.601
GCF_000014385.1	-1.212	0.915	1.544
GCF_000195575.1	-2.843	0.942	1.746
GCF_000026405.1	-1.215	0.947	1.604
GCF_000092505.1	-1.467	0.947	1.604
GCF_000014445.1	-1.467	0.947	1.604
GCF_000237995.1	-1.498	0.947	1.604
GCF_000024565.1	-0.439	0.986	1.678
GCF_000018785.1	-1.658	1.058	1.64
GCF_000219805.1	-0.796	1.102	1.699
GCF_000270085.1	-0.973	1.106	1.773
GCF_000020565.1	0.028	1.11	1.59
GCF_000014505.1	-1.099	1.186	1.994
GCF_000009545.1	-1.757	1.186	2.044
GCF_000011225.1	-0.048	1.206	1.465
GCF_000400935.1	0.107	1.224	1.53
GCF_000470775.1	-2.876	1.23	2.496
GCF_000300135.1	-0.783	1.295	2.015
GCF_000211375.1	-1.981	1.3	2.044
GCF_000237205.1	-1.129	1.35	2.218
GCF_000015345.1	-1.395	1.372	1.795
GCF_000007665.1	-2.486	1.395	2.46
GCF_000069225.1	-3.148	1.4	2.584
GCF_000590555.1	-3.031	1.401	2.488
GCF_000177535.2	-3.164	1.403	2.784
GCF_000093065.1	0.416	1.434	2.371
GCF_000023205.1	-3.588	1.44	2.985
GCF_000018885.1	-2.959	1.563	3.84
GCF_000023145.1	-2.622	1.574	3.118
GCF_000063485.1	-3.55	1.578	2.548
GCF_000355695.1	-3.105	1.578	2.548
GCF_000253155.1	-1.813	1.593	2.071
GCF_000463465.1	-1.399	1.681	2.174
GCF_000463505.1	-1.589	1.681	2.174
GCF_000027165.1	-1.178	1.681	2.248
GCF_000479315.1	-1.321	1.686	2.396
GCF_000287355.1	0.134	1.694	2.203
GCF_000026065.1	-0.196	1.736	2.29
GCF_000006605.1	-2.895	1.741	2.84
GCF_000143705.1	-2.097	1.744	2.564
GCF_000092785.1	-2.246	1.764	2.511
GCF_000017005.1	-1.177	1.8	2.351
GCF_000246835.1	-1.384	1.845	2.409
GCF_000441535.1	-0.863	1.845	2.409
GCF_000014205.1	-1.727	1.845	2.454
GCF_000007465.2	-1.379	1.85	2.438
GCF_000317975.2	-0.619	1.946	2.742
GCF_000010425.1	0.745	1.954	3.338
GCF_000025205.1	0.857	1.982	2.704
GCF_000024225.1	0.14	1.989	3.1
GCF_000270205.1	0.684	2.044	2.184
GCF_000283555.1	0.684	2.044	2.184
GCF_000271405.2	-0.256	2.084	3.036
GCF_000344785.1	-2.371	2.087	3.163
GCF_000024445.1	0.728	2.114	3.309
GCF_000347695.1	0.647	2.114	3.309
GCF_000304215.1	0.957	2.119	3.338
GCF_000014345.1	0.105	2.146	2.284
GCF_000306885.1	0.506	2.209	2.3
GCF_000208385.1	0.192	2.254	3.039
GCF_000218875.1	-1.019	2.255	2.596
GCF_000504125.1	-0.045	2.258	3.061
GCF_000060345.1	-2.205	2.304	4.31
GCF_000013165.1	0.761	2.323	2.616
GCF_000307165.1	-1.402	2.331	2.965
GCF_000441555.1	0.96	2.335	2.431
GCF_000376585.1	0.754	2.341	2.817
GCF_000008385.1	0.936	2.341	2.602
GCF_000340865.1	0.406	2.367	2.828
GCF_000143845.1	-0.044	2.388	3.488
GCF_000011685.1	-0.662	2.389	3.619
GCF_000447675.1	0.346	2.405	2.405
GCF_000063545.1	0.809	2.406	2.196
GCF_000010205.1	0.809	2.406	2.196
GCF_000196315.1	-1.724	2.422	3.944
GCF_000253015.1	0.152	2.423	2.519
GCF_000340905.1	0.478	2.439	3.597
GCF_000015445.1	0.103	2.47	2.664
