	sulfur	carbon	oxygen	iron	nitrogen
GCF_000195295.1_ASM19529v1_protein.faa.named.faa	10.647	14.514	3.171	4.033	10.980
GCF_000020945.1_ASM2094v1_protein.faa.named.faa	4.467	3.542	0.403	0.472	5.365
GCF_000148685.1_ASM14868v1_protein.faa.named.faa	0.034	14.162	3.434	5.274	16.919
GCF_000828475.1_ASM82847v1_protein.faa.named.faa	1.590	14.435	4.014	6.398	15.618
GCF_000758545.1_ASM75854v1_protein.faa.named.faa	1.655	2.522	3.998	3.539	9.986
GCF_000981525.1_L_piscium_protein.faa.named.faa	0.192	1.971	1.338	0.482	3.213
GCF_000008525.1_ASM852v1_protein.faa.named.faa	2.287	2.997	1.602	4.080	8.692
GCF_001484685.1_ASM148468v1_protein.faa.named.faa	5.620	5.599	-0.502	0.667	7.398
GCF_000967425.1_ASM96742v1_protein.faa.named.faa	-1.076	2.996	4.770	8.026	16.866
GCF_000091725.1_ASM9172v1_protein.faa.named.faa	0.627	2.291	2.219	2.018	11.669
GCF_000018065.1_ASM1806v1_protein.faa.named.faa	2.004	4.963	7.408	3.421	10.735
GCF_001543285.1_ASM154328v1_protein.faa.named.faa	-2.451	2.920	0.382	0.209	2.380
GCF_001190755.1_ASM119075v1_protein.faa.named.faa	5.906	7.707	1.527	7.435	9.628
GCF_000010225.1_ASM1022v1_protein.faa.named.faa	-1.853	0.247	4.101	2.360	10.577
GCF_000800825.1_ASM80082v1_protein.faa.named.faa	1.111	0.836	4.043	3.552	10.730
GCF_000011205.1_ASM1120v1_protein.faa.named.faa	5.160	3.837	4.134	2.136	12.283
GCF_000187005.1_ASM18700v1_protein.faa.named.faa	4.894	3.575	2.700	5.584	13.627
GCF_000046705.1_ASM4670v1_protein.faa.named.faa	-0.247	1.119	1.008	1.725	7.122
GCF_000017665.1_ASM1766v1_protein.faa.named.faa	1.839	6.101	2.937	3.402	13.364
GCF_000007665.1_ASM766v1_protein.faa.named.faa	-2.542	-1.688	2.207	4.026	7.352
GCF_001578185.1_ASM157818v1_protein.faa.named.faa	1.786	4.143	4.167	3.280	13.920
GCF_000014345.1_ASM1434v1_protein.faa.named.faa	-0.009	1.371	1.858	3.934	6.588
GCF_000012225.1_ASM1222v1_protein.faa.named.faa	-0.001	-0.462	0.166	-0.035	0.233
GCF_000240075.2_ASM24007v2_protein.faa.named.faa	0.240	-0.248	1.275	5.095	9.976
GCF_000007765.1_ASM776v1_protein.faa.named.faa	1.371	1.390	0.399	0.926	6.847
GCF_000010725.1_ASM1072v1_protein.faa.named.faa	0.791	5.824	6.231	6.956	17.795
GCF_000221185.1_ASM22118v1_protein.faa.named.faa	7.747	11.384	-0.423	0.151	6.715
GCF_000147075.1_ASM14707v1_protein.faa.named.faa	0.760	6.915	5.018	1.677	8.175
GCF_000019145.1_ASM1914v1_protein.faa.named.faa	-0.597	2.214	3.562	7.216	15.300
GCF_001548055.1_ASM154805v1_protein.faa.named.faa	5.677	9.712	6.022	7.640	15.061
GCF_001518795.1_ASM151879v1_protein.faa.named.faa	-1.124	0.030	0.482	-0.321	1.796
GCF_000092645.1_ASM9264v1_protein.faa.named.faa	2.029	4.235	3.528	3.999	14.411
GCF_000016125.1_ASM1612v1_protein.faa.named.faa	5.504	76.744	3.924	0.651	6.935
GCF_000024345.1_ASM2434v1_protein.faa.named.faa	-0.475	2.493	3.685	2.287	15.593
GCF_001611855.1_ASM161185v1_protein.faa.named.faa	-1.032	1.547	4.709	2.287	15.909
GCF_000194805.1_ASM19480v1_protein.faa.named.faa	2.469	3.333	2.674	7.425	15.999
GCF_000018825.1_ASM1882v1_protein.faa.named.faa	2.735	4.418	4.878	3.726	14.921
GCF_000283515.1_ASM28351v1_protein.faa.named.faa	-1.496	1.897	3.692	7.345	15.973
GCF_000025905.1_ASM2590v1_protein.faa.named.faa	1.858	5.284	6.659	5.443	14.213
GCF_000017165.1_ASM1716v1_protein.faa.named.faa	5.659	76.499	3.735	0.533	6.942
GCF_000599545.1_ASM59954v1_protein.faa.named.faa	-0.548	6.463	3.646	2.418	15.968
GCF_000185985.2_ASM18598v2_protein.faa.named.faa	2.127	2.072	2.590	0.915	7.563
GCF_000739085.1_ASM73908v1_protein.faa.named.faa	0.244	2.416	3.410	2.241	15.838
GCF_000008425.1_ASM842v1_protein.faa.named.faa	2.289	0.436	3.424	3.868	13.132
GCF_001006005.1_ASM100600v1_protein.faa.named.faa	2.343	5.400	3.886	6.490	15.918
GCF_000166395.1_ASM16639v1_protein.faa.named.faa	-0.640	3.604	3.513	3.687	12.438
GCF_000012365.1_ASM1236v1_protein.faa.named.faa	-1.127	3.751	4.233	4.577	16.665
GCF_001597285.1_ASM159728v1_protein.faa.named.faa	-0.823	2.799	3.135	7.639	15.260
GCF_000009285.1_ASM928v2_protein.faa.named.faa	1.670	4.554	4.402	7.985	17.063
GCF_000359525.1_ASM35952v1_protein.faa.named.faa	-0.654	2.123	3.293	2.287	15.347
GCF_001042635.1_ASM104263v1_protein.faa.named.faa	0.370	0.511	1.641	0.289	3.548
GCF_001011055.1_ASM101105v1_protein.faa.named.faa	4.210	5.720	1.670	5.013	12.752
GCF_000479315.1_ASM47931v1_protein.faa.named.faa	-1.152	-0.486	0.266	0.016	1.808
GCF_001687665.2_ASM168766v2_protein.faa.named.faa	1.076	1.996	3.609	3.583	10.859
GCF_000304315.1_Msp_SC2_protein.faa.named.faa	3.507	21.826	5.922	6.460	18.215
GCF_000177195.2_ASM17719v2_protein.faa.named.faa	-0.296	2.019	3.410	2.023	15.464
GCF_000024465.1_ASM2446v1_protein.faa.named.faa	-0.169	5.219	3.259	4.185	14.534
GCF_001477655.1_ASM147765v1_protein.faa.named.faa	5.522	70.318	3.497	0.596	6.853
GCF_000010985.1_ASM1098v1_protein.faa.named.faa	4.909	8.915	0.097	6.434	11.312
GCF_000267545.1_ASM26754v1_protein.faa.named.faa	0.777	5.821	3.814	8.217	13.346
GCF_000070465.1_ASM7046v1_protein.faa.named.faa	-0.923	4.007	3.172	4.878	14.919
GCF_000024325.1_ASM2432v1_protein.faa.named.faa	10.989	9.200	2.806	5.031	9.189
GCF_000759475.1_ASM75947v1_protein.faa.named.faa	-0.236	4.152	4.132	5.592	15.183
GCF_000018085.1_ASM1808v1_protein.faa.named.faa	2.062	5.554	3.729	5.993	15.398
GCF_000967895.1_ASM96789v1_protein.faa.named.faa	-0.594	1.857	4.661	8.657	13.703
GCF_000147055.1_ASM14705v1_protein.faa.named.faa	2.430	8.433	5.788	1.411	15.110
GCF_000981765.1_ASM98176v1_protein.faa.named.faa	-0.294	2.171	2.776	4.103	11.486
GCF_000013185.1_ASM1318v1_protein.faa.named.faa	2.205	2.173	2.671	0.956	7.004
GCF_000283615.1_ASM28361v1_protein.faa.named.faa	0.481	0.040	1.759	0.552	3.178
GCF_000349845.1_ASM34984v1_protein.faa.named.faa	0.882	3.703	2.674	7.540	15.143
GCF_000025945.1_ASM2594v1_protein.faa.named.faa	9.741	9.521	1.084	5.152	10.937
GCF_000520015.2_ASM52001v2_protein.faa.named.faa	1.328	5.479	2.877	6.754	15.298
GCF_000283555.1_ASM28355v1_protein.faa.named.faa	0.699	0.172	-0.103	0.678	1.977
GCF_000271665.2_ASM27166v2_protein.faa.named.faa	3.647	11.263	3.126	4.816	11.999
GCF_000026065.1_ASM2606v1_protein.faa.named.faa	-0.089	0.870	1.303	-0.295	1.709
GCF_001302585.1_ASM130258v1_protein.faa.named.faa	0.921	2.909	3.322	2.738	16.581
GCF_000214375.1_ASM21437v1_protein.faa.named.faa	2.046	14.354	3.934	1.161	7.553
GCF_000015985.1_ASM1598v1_protein.faa.named.faa	2.870	8.661	6.587	8.587	16.838
GCF_000161795.2_ASM16179v2_protein.faa.named.faa	2.371	5.011	8.373	3.421	13.389
GCF_000055785.1_ASM5578v1_protein.faa.named.faa	0.830	4.877	2.642	1.526	13.216
GCF_000328705.1_ASM32870v1_protein.faa.named.faa	-1.064	4.024	4.856	2.734	16.210
GCF_000011225.1_ASM1122v1_protein.faa.named.faa	-0.064	-0.631	0.088	-0.005	1.093
GCF_000238995.1_ASM23899v1_protein.faa.named.faa	-0.135	0.121	0.156	-0.142	0.120
GCF_001547895.1_ASM154789v1_protein.faa.named.faa	-0.361	3.732	4.458	6.910	15.821
GCF_000331735.1_ASM33173v1_protein.faa.named.faa	-0.050	4.502	3.650	5.346	16.307
GCF_000019725.1_ASM1972v1_protein.faa.named.faa	1.894	17.373	7.007	6.422	17.554
GCF_000006645.1_ASM664v1_protein.faa.named.faa	0.212	4.556	2.846	5.018	14.766
GCF_000008925.1_ASM892v1_protein.faa.named.faa	-1.070	0.909	1.335	0.525	2.685
GCF_000219875.1_ASM21987v1_protein.faa.named.faa	2.081	-0.229	2.294	2.244	8.904
GCF_000988565.1_ASM98856v1_protein.faa.named.faa	-0.635	2.304	3.727	5.131	15.802
GCF_000092865.1_ASM9286v1_protein.faa.named.faa	-0.751	2.402	3.641	3.254	14.915
GCF_000016325.1_ASM1632v1_protein.faa.named.faa	2.031	5.848	2.142	1.636	13.214
GCF_001639105.1_ASM163910v1_protein.faa.named.faa	-0.463	4.768	5.707	5.020	16.858
GCF_000143705.1_ASM14370v1_protein.faa.named.faa	-2.126	-1.157	3.305	5.879	7.996
GCF_001563285.1_ASM156328v1_protein.faa.named.faa	0.482	2.725	3.442	7.268	15.336
