Accesion 	Pffam 	(Uniprot-Pfam) 	MD5 digest 	Length 	Description 	Start 	Stop 	Score 	Interpro 	Description 	Annotations 	Go annotations	EC Number 	Gen 	Microrganism	KEGG	KO	path1	path2	path3
O33997	PF00890	O33997PF00890	98abaa21d5b521c070d46b91f8532b54	620	FAD binding domain	12	241	2.10E-19	IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain			1.8.99.2	aprA	Allochromatium vinosum	alv-Alvin_1121	K00394	1	5	11
O33997	PF02910	O33997PF02910	98abaa21d5b521c070d46b91f8532b54	620	Fumarate reductase flavoprotein C-term	499	613	1.50E-06	IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal			1.8.99.2	aprA	Allochromatium vinosum	alv-Alvin_1121	K00394	1	5	11
O33996	PF12139	O33996PF12139	2c4d59f5e73a04c8f542bdff4b0908ab	160	Adenosine-5'-phosphosulfate reductase beta subunit	59	142	1.30E-34	IPR022738	Adenylylsulphate reductase, beta subunit, C-terminal			1.8.99.2	aprB	Allochromatium vinosum	alv-Alvin_1123	K00395	1	5	11
O33996	PF12838	O33996PF12838	2c4d59f5e73a04c8f542bdff4b0908ab	160	4Fe-4S dicluster domain	9	56	3.70E-10	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683		1.8.99.2	aprB	Allochromatium vinosum			1	5	11
Q9LA72	PF01087	Q9LA72PF01087	bc675d31c395ed551884255d506ccda3	371	Galactose-1-phosphate uridyl transferase, N-terminal domain	11	184	5.40E-11	IPR005849	Galactose-1-phosphate uridyl transferase, N-terminal	KEGG: 00430+2.3.1.8|KEGG: 00620+2.3.1.8|KEGG: 00640+2.3.1.8|KEGG: 00680+2.3.1.8|KEGG: 00720+2.3.1.8|MetaCyc: PWY-1281|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-6637		2.7.7.5	apt	Thiobacillus denitrificans	0	0	1	0	0
P26474	PF17179	P26474PF17179	815694dd504e171ba383f5aa2d914ef0	347	4Fe-4S dicluster domain	229	326	8.20E-31	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain			1.8.99.1	asrA	Salmonella	stm:STM2548	K16950	4		
P26475	PF00175	P26475PF00175	e0a36ab49ecabf1e32d4f710e2b6face	272	Oxidoreductase NAD-binding domain	116	217	6.10E-20	IPR001433	Oxidoreductase FAD/NAD(P)-binding			1.8.99.1	asrB	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	stm:STM2549	K16951	4		
P26475	PF10418	P26475PF10418	e0a36ab49ecabf1e32d4f710e2b6face	272	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	235	264	5.20E-08	IPR019480	Dihydroorotate dehydrogenase, electron transfer subunit, iron-sulphur cluster binding domain			1.8.99.1	asrB	Salmonella enterica enterica serovar Typhimurium	stm-STM2549	K16951 	4	0	0
P0A1Y2	PF14697	P0A1Y2PF14697	c9ebd6d3ae37c038d62298a6d3c15c20	337	4Fe-4S dicluster domain	176	224	8.20E-09			Reactome: R-HSA-611105|Reactome: R-HSA-6799198		1.8.99.1	asrC	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	stm:STM2550	K00385	4		
P0A1Y2	PF01077	P0A1Y2PF01077	c9ebd6d3ae37c038d62298a6d3c15c20	337	Nitrite and sulphite reductase 4Fe-4S domain	110	303	4.70E-16	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain			1.8.99.1	asrC	Salmonella enterica enterica serovar Typhimurium	stm-STM2550	K00385	4	0	0
